date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,c6h6,co,no,no2,nox,o3,so2
2011-09-28,247.291.666.666.667,234.833.333.333.333,66,NA,210.875,214.520.833.333.333,27.3,17,0,NA,NA,NA,NA,0.24,05.04,22.08,NA,92.48,3.48
2011-09-29,336.041.666.666.667,200.395.833.333.333,695.416.666.666.667,NA,205.375,212.708.333.333.333,27.1,16,0,NA,NA,NA,NA,0.27,5.42,23.04,NA,91.67,3.17
2011-09-30,293.333.333.333.333,200.645.833.333.333,743.125,NA,191.5,207.666.666.666.667,25.4,15.6,0,NA,NA,NA,NA,0.25,3.67,11.12,NA,91.79,03.04
2011-10-01,278.958.333.333.333,218.875,766.666.666.666.667,NA,186.770.833.333.333,2.053.125,25.4,16.3,0,NA,NA,NA,NA,0.26,4.29,13.41,NA,71.61,3
2011-10-02,3.3,274.604.166.666.667,739.166.666.666.667,NA,210.770.833.333.333,202.229.166.666.667,26.3,15.6,0,NA,NA,NA,NA,0.26,14.42,34.71,NA,65.42,3.92
2011-10-03,266.458.333.333.333,256.041.666.666.667,598.125,NA,203.666.666.666.667,215.270.833.333.333,29.6,16.3,0,87,33906,256.591.753.671.916,NA,0.26,11.74,31.22,NA,83.25,3.27
2011-10-04,2.9125,268.229.166.666.667,618.333.333.333.333,NA,200.770.833.333.333,210.354.166.666.667,28.9,15.8,0,57,23166,246.050.246.050.246,NA,0.27,10.08,34.12,NA,77.62,4.29
2011-10-05,319.166.666.666.667,241.145.833.333.333,61.625,NA,2.015.625,215.791.666.666.667,28.7,15.8,0,53,23495,225.579.910.619.281,NA,0.21,03.08,13.88,NA,85.92,03.08
2011-10-06,231.875,262.375,781.875,NA,185.479.166.666.667,210.979.166.666.667,27,17,0,31,16275,19.047.619.047.619,NA,0.2,04.04,11.58,NA,62.58,3.33
2011-10-07,312.916.666.666.667,226.770.833.333.333,718.541.666.666.667,NA,118.5,200.479.166.666.667,23.9,16.9,0,39,18420,211.726.384.364.821,NA,0.2,1.92,8.83,NA,65.08,3.62
2011-10-08,291.041.666.666.667,231.25,562.916.666.666.667,NA,185.958.333.333.333,183.708.333.333.333,23.6,12.8,0,12,8014,149.737.958.572.498,NA,0.2,2.71,7.33,NA,61.71,3.12
2011-10-09,267.916.666.666.667,282.979.166.666.667,597.291.666.666.667,NA,195.791.666.666.667,1.836.875,24.8,14.4,0,NA,NA,NA,NA,0.23,8.42,20.33,NA,43.42,4.12
2011-10-10,363.125,270.395.833.333.333,582.083.333.333.333,NA,193.229.166.666.667,213.229.166.666.667,28.3,15.7,0,79,26328,300.060.771.801.884,NA,0.29,20.33,31.88,NA,41.75,5.54
2011-10-11,299.166.666.666.667,2.746.875,556.041.666.666.667,NA,190.625,216.270.833.333.333,28.5,17,0,37,18827,196.526.265.469.804,NA,0.23,5.62,26.54,NA,55.46,5.54
2011-10-12,308.333.333.333.333,273.375,572.291.666.666.667,NA,189.916.666.666.667,216.020.833.333.333,29.6,16.5,0,4,2334,171.379.605.826.907,NA,0.26,10.29,31.54,NA,45.43,5.33
2011-10-13,248.125,209.979.166.666.667,697.916.666.666.667,NA,1.603.125,208.833.333.333.333,26.5,16.2,0,69,31376,219.913.309.535.951,NA,0.25,5.42,22.67,NA,47.67,5.75
2011-10-14,236.458.333.333.333,2.083.125,667.291.666.666.667,NA,164.270.833.333.333,200.020.833.333.333,24.9,16,0,43,17760,242.117.117.117.117,NA,0.22,2.29,13.92,NA,68.25,5.38
2011-10-15,259.791.666.666.667,197.354.166.666.667,656.666.666.666.667,NA,143.75,1.838.125,22.5,13.2,0,12,7975,150.470.219.435.737,NA,0.22,1.33,9.12,NA,72.29,05.04
2011-10-16,223.125,267.729.166.666.667,69.125,NA,1.564.375,1.845.625,23.5,13.8,0,4,2084,191.938.579.654.511,NA,0.25,3.38,13.42,NA,68.25,5.33
2011-10-17,2.2875,263.666.666.666.667,787.083.333.333.333,NA,972.916.666.666.667,1.773.125,23.5,14.2,0.3,70,32483,21.549.733.706.862,NA,0.29,12.33,18.42,NA,70.12,5.96
2011-10-18,332.083.333.333.333,277.125,752.083.333.333.333,NA,172.458.333.333.333,1.784.375,24.3,13.5,0,31,14394,215.367.514.242.045,NA,0.3,19.5,24.4,NA,65.79,5.83
2011-10-19,378.958.333.333.333,243.729.166.666.667,745.416.666.666.667,NA,1.560.625,183.604.166.666.667,23.4,13.4,0.1,31,15260,203.145.478.374.836,NA,0.21,4.61,11.48,NA,55.83,4.17
2011-10-20,255.416.666.666.667,252.583.333.333.333,652.083.333.333.333,NA,103.208.333.333.333,153.666.666.666.667,20.3,10.8,0,35,18346,190.777.281.151.205,NA,0.21,6,21.5,NA,43.54,4.43
2011-10-21,273.958.333.333.333,213.416.666.666.667,631.875,NA,667.291.666.666.667,144.229.166.666.667,17.8,9.7,0,45,18286,246.089.904.845.237,NA,0.22,3.42,11.42,NA,62.58,4.29
2011-10-22,222.708.333.333.333,192.270.833.333.333,758.333.333.333.333,NA,101.375,165.875,20.8,12.8,0,11,7617,144.413.811.211.763,NA,0.24,3.96,8.71,NA,53.5,4.5
2011-10-23,212.708.333.333.333,299.979.166.666.667,86.625,NA,513.333.333.333.333,155.833.333.333.333,19.5,13.1,3.6,2,2682,745.712.155.108.128,NA,0.27,8.88,28.79,NA,35.41,06.09
2011-10-24,182.916.666.666.667,232.145.833.333.333,925.833.333.333.333,NA,645.208.333.333.333,166.145.833.333.333,20.8,14.2,46.4,45,22146,20.319.696.559.198,NA,0.31,15.92,16.29,NA,49.33,6.12
2011-10-25,307.083.333.333.333,3.071.875,637.708.333.333.333,NA,164.375,164.395.833.333.333,21.2,11.3,0.3,36,19566,183.992.640.294.388,NA,0.28,11.25,26.79,NA,43.29,6
2011-10-26,268.541.666.666.667,279.104.166.666.667,620.625,NA,149.791.666.666.667,145.979.166.666.667,20.8,9,0,36,19763,182.158.579.163.083,NA,0.35,17.58,34.71,NA,20.58,5.71
2011-10-27,198.958.333.333.333,285.875,856.875,NA,244.791.666.666.667,163.541.666.666.667,21.2,14.1,15.9,41,20974,195.480.118.241.632,NA,0.24,5.96,26.5,NA,33.62,2.86
2011-10-28,251.875,230.416.666.666.667,907.916.666.666.667,NA,490.833.333.333.333,17.075,19.6,15.1,33.3,37,18119,204.205.530.106.518,NA,0.21,4.46,16.17,NA,40.79,1
2011-10-29,2.8,186.854.166.666.667,83.625,NA,690.416.666.666.667,182.333.333.333.333,22,15.5,0,18,8306,216.710.811.461.594,NA,0.22,4.58,8.5,NA,39.08,1
2011-10-30,217.083.333.333.333,273.229.166.666.667,814.375,NA,134.104.166.666.667,176.645.833.333.333,23.3,14,0,5,3104,161.082.474.226.804,NA,0.29,14.96,17.96,NA,28.92,1.33
2011-10-31,208.541.666.666.667,278.354.166.666.667,872.708.333.333.333,NA,922.708.333.333.333,162.916.666.666.667,20.8,12.8,0,46,20723,221.975.582.685.905,NA,0.25,4.96,10.08,NA,42.04,1
2011-11-01,185.208.333.333.333,253.583.333.333.333,905.208.333.333.333,NA,846.875,17.825,22.3,14.2,0,3,1986,151.057.401.812.689,NA,0.21,3.83,8.38,NA,51.75,1
2011-11-02,306.458.333.333.333,224.020.833.333.333,871.875,NA,122.895.833.333.333,192.770.833.333.333,22.2,16.1,33.8,42,16532,254.052.746.189.209,NA,0.27,12.12,16.25,NA,32.54,1.36
2011-11-03,270.416.666.666.667,2.376.875,893.541.666.666.667,NA,50.375,187.708.333.333.333,21.8,15.9,0.2,46,21956,209.509.928.948.807,NA,0.23,6.67,17.83,NA,45.79,1.29
2011-11-04,273.958.333.333.333,2.120.625,917.708.333.333.333,NA,305.625,163.291.666.666.667,19.2,14.4,23.7,18,8706,206.753.962.784.287,NA,0.23,5.58,13.38,NA,44.58,1.33
2011-11-05,196.458.333.333.333,2.486.875,862.083.333.333.333,NA,743.125,152.395.833.333.333,18.1,12.7,6.2,14,6793,206.094.509.053.437,NA,0.24,5.92,9.21,NA,47.54,01.08
2011-11-06,270.833.333.333.333,259.833.333.333.333,886.875,NA,27.625,136.583.333.333.333,16.6,11.6,23.6,3,1262,237.717.908.082.409,NA,0.26,11.29,17.25,NA,41.88,1.17
2011-11-07,250.416.666.666.667,2.954.375,751.666.666.666.667,NA,860.416.666.666.667,1.581.875,21,13.3,0.1,40,19610,203.977.562.468.129,NA,0.25,7.59,16.95,NA,26.27,1.45
2011-11-08,260.625,276.875,777.291.666.666.667,NA,1.319.375,1.550.625,20.7,12.4,0,41,18811,217.957.578.012.865,NA,0.36,24.71,31.29,NA,19.58,3.21
2011-11-09,262.083.333.333.333,2.766.875,80.625,NA,128.479.166.666.667,1.434.375,20.4,10.9,0,43,18314,23.479.305.449.383,NA,0.3,14.92,33.21,NA,33.42,2.25
2011-11-10,310.416.666.666.667,278.354.166.666.667,81.875,NA,119.541.666.666.667,146.479.166.666.667,20,11,0,39,16945,230.156.388.315.137,NA,0.37,23.17,32.33,NA,28.58,02.08
2011-11-11,239.166.666.666.667,271.833.333.333.333,871.875,NA,124.458.333.333.333,156.770.833.333.333,21.3,11.7,0,43,17895,240.290.583.962.001,NA,0.33,10.62,34.12,NA,31.08,1.54
2011-11-12,1.75,219.520.833.333.333,875.208.333.333.333,NA,102.645.833.333.333,169.625,20.9,14.3,0,NA,NA,NA,NA,0.25,4.15,19.15,NA,53.14,1
2011-11-13,236.041.666.666.667,190.5,87.125,NA,327.708.333.333.333,16.05,17.6,14.4,7.7,2,2269,881.445.570.736.007,NA,0.28,7.86,34.93,NA,44.93,1
2011-11-14,2.325,181.5,880.625,NA,327.708.333.333.333,149.916.666.666.667,17.6,13.6,4.5,52,21354,243.514.095.719.771,NA,0.24,6.67,28.83,NA,48.54,01.08
2011-11-15,332.916.666.666.667,131.333.333.333.333,90.625,NA,247.291.666.666.667,153.104.166.666.667,17.7,13.2,46.9,45,21295,21.131.721.061.282,NA,0.2,5.72,17.78,NA,54.77,1
2011-11-16,240.208.333.333.333,178.583.333.333.333,843.125,NA,269.791.666.666.667,149.854.166.666.667,16.4,13.1,14,29,9709,298.691.935.317.746,NA,0.23,9.5,27,NA,41.79,1.38
2011-11-17,169.791.666.666.667,194.083.333.333.333,78.75,NA,717.083.333.333.333,1.524.375,17.7,13.4,0.6,35,18457,189.629.950.696.213,NA,0.29,13.71,32.46,NA,17.88,2.46
2011-11-18,210.833.333.333.333,254.416.666.666.667,868.958.333.333.333,NA,660.625,131.458.333.333.333,17.1,10.8,0,37,19877,186.144.790.461.337,NA,0.24,7.21,28.46,NA,36,2
2011-11-19,266.041.666.666.667,238.375,864.583.333.333.333,NA,51.75,134.083.333.333.333,17.1,9.8,0.6,7,1371,510.576.221.735.959,NA,0.22,4.88,19.12,NA,53.42,1.88
2011-11-20,286.875,1.549.375,850.416.666.666.667,NA,983.541.666.666.667,16.5,19.4,14.1,0.1,3,2235,134.228.187.919.463,NA,0.2,5.5,21,NA,50,2
2011-11-21,306.458.333.333.333,145.229.166.666.667,821.041.666.666.667,NA,596.458.333.333.333,155.125,19.1,13.2,4.1,50,23026,217.145.835.142.882,NA,0.2,4.38,15.88,NA,57,2
2011-11-22,403.333.333.333.333,422.291.666.666.667,724.791.666.666.667,NA,428.333.333.333.333,164.541.666.666.667,17.4,14.6,0.2,46,21076,218.257.733.915.354,NA,0.28,17.21,29.75,NA,27.75,2.42
2011-11-23,256.875,285.395.833.333.333,724.166.666.666.667,NA,111.520.833.333.333,147.125,20.6,10.4,0,27,12235,220.678.381.691.868,NA,0.3,16.71,28.75,NA,19.12,1.83
2011-11-24,2.8,261.458.333.333.333,801.875,NA,106.5,127.229.166.666.667,19.2,9.2,0,52,21773,238.827.906.122.262,NA,0.35,23.64,31.18,NA,12.91,2.5
2011-11-25,260.625,285.958.333.333.333,80,NA,106.520.833.333.333,121.916.666.666.667,18.7,8.7,0,40,19714,202.901.491.325.961,NA,0.29,17.46,21.96,NA,22.12,2.42
2011-11-26,406.041.666.666.667,324.958.333.333.333,727.916.666.666.667,NA,111.958.333.333.333,11.1375,16.3,8,0,15,8112,18.491.124.260.355,NA,0.26,11.67,20.04,NA,36.88,2.14
2011-11-27,3.1375,278.166.666.666.667,821.875,NA,72.875,104.708.333.333.333,16.8,6.2,0,2,1228,162.866.449.511.401,NA,0.31,22,31.46,NA,28.54,NA
2011-11-28,277.291.666.666.667,282.166.666.666.667,810.416.666.666.667,NA,60.5,115.291.666.666.667,16.9,8.2,0,58,26845,216.055.131.309.369,NA,0.28,16.05,28.18,NA,34.21,1.23
2011-11-29,323.125,300.604.166.666.667,745.833.333.333.333,NA,95.875,127.958.333.333.333,19.5,9.9,0,43,19150,224.543.080.939.948,NA,0.33,14.33,29.5,NA,22,2.61
2011-11-30,291.875,291.333.333.333.333,776.458.333.333.333,NA,1.010.625,11.2,18.2,8.1,0,49,21660,226.223.453.370.268,NA,0.37,33.67,31,NA,31.83,5.29
2011-12-01,298.333.333.333.333,286.395.833.333.333,820.416.666.666.667,NA,98.125,112.958.333.333.333,17.2,6.7,0,52,27053,192.215.281.114.849,NA,0.38,35.21,31.5,NA,33.04,5.25
2011-12-02,306.458.333.333.333,317.583.333.333.333,750.416.666.666.667,NA,74.75,127.604.166.666.667,18.3,9.4,0,41,16161,25.369.717.220.469,NA,0.24,8.58,16.29,NA,30.08,3
2011-12-03,340.416.666.666.667,325.25,692.291.666.666.667,NA,859.583.333.333.333,1.211.875,14.8,10.1,0.4,4,3118,128.287.363.694.676,NA,0.25,6.38,12.62,NA,36.12,NA
2011-12-04,213.333.333.333.333,306.875,717.291.666.666.667,NA,972.916.666.666.667,115.979.166.666.667,17.1,7.9,0,2,1436,139.275.766.016.713,NA,0.29,14.42,25.17,NA,21.09,NA
2011-12-05,243.333.333.333.333,269.145.833.333.333,742.708.333.333.333,NA,98,1.183.125,17.3,6.7,0,53,18735,282.892.981.051.508,NA,0.27,9.17,15,NA,44.21,NA
2011-12-06,240.833.333.333.333,301.166.666.666.667,749.791.666.666.667,NA,1.000.625,111.354.166.666.667,17.3,7.6,0,6,2970,202.020.202.020.202,NA,0.28,14.54,22,NA,36.79,NA
2011-12-07,306.458.333.333.333,305.895.833.333.333,715.833.333.333.333,NA,99.375,110.083.333.333.333,17.2,7.2,0,45,24832,181.217.783.505.155,NA,0.28,8.96,16.58,NA,29.71,NA
2011-12-08,307.291.666.666.667,294.354.166.666.667,772.083.333.333.333,NA,970.833.333.333.333,11.2,17.4,7.6,0,2,1182,169.204.737.732.657,NA,0.42,28.17,35.17,NA,10.33,3.5
2011-12-09,3.175,313.229.166.666.667,806.041.666.666.667,NA,835.625,943.958.333.333.333,13.9,6,0,62,22608,274.239.207.360.226,NA,0.35,11.58,21.83,NA,23.08,2.38
2011-12-10,3.275,319.708.333.333.333,76.875,NA,840.208.333.333.333,970.833.333.333.333,14.9,6.6,0,10,5493,182.049.881.667.577,NA,0.35,12.79,19.96,NA,20.79,2.33
2011-12-11,334.791.666.666.667,305.020.833.333.333,78,NA,842.708.333.333.333,8.6125,15.2,5.1,0,2,978,204.498.977.505.112,NA,0.27,12.67,21.54,NA,18.04,2.17
2011-12-12,312.708.333.333.333,3.168.125,736.041.666.666.667,NA,969.583.333.333.333,980.625,16.3,6.2,0,72,35586,202.326.757.713.708,NA,0.32,18.88,23.96,NA,29.08,2.42
2011-12-13,2.6375,297.875,736.875,NA,834.375,989.375,17.5,5.1,0,59,27261,216.426.396.683.907,NA,0.41,26.04,37.46,NA,21.38,03.04
2011-12-14,278.541.666.666.667,259.270.833.333.333,687.291.666.666.667,NA,778.125,133.625,19.5,9,0,31,15116,205.080.709.182.323,NA,0.22,4.57,14.1,NA,51.42,1.42
2011-12-15,372.083.333.333.333,295.208.333.333.333,600.833.333.333.333,NA,83,115.145.833.333.333,16.2,7.9,0,44,21145,208.087.018.207.614,NA,0.21,4.5,12.33,NA,52.5,02.04
2011-12-16,544.166.666.666.667,270.75,53.25,NA,483.958.333.333.333,140.166.666.666.667,17.9,11.2,0,36,19019,189.284.399.810.716,NA,0.2,2.42,1.5,NA,70.04,1.58
2011-12-17,597.291.666.666.667,321.5,547.708.333.333.333,NA,989.791.666.666.667,103.291.666.666.667,13.8,7.7,0,13,6929,187.617.260.787.993,NA,0.2,3.67,8.12,NA,53.42,1.62
2011-12-18,359.166.666.666.667,317.208.333.333.333,562.083.333.333.333,NA,995.208.333.333.333,780.416.666.666.667,13.5,2.8,0,6,4917,12.202.562.538.133,NA,0.34,21.42,36.54,NA,24.42,2.83
2011-12-19,252.916.666.666.667,3.005.625,624.166.666.666.667,NA,702.083.333.333.333,619.791.666.666.667,11.6,2,0,61,23071,264.401.196.307.052,NA,0.37,22.54,35.5,NA,19.32,2.86
2011-12-20,310.416.666.666.667,3.184.375,709.583.333.333.333,NA,65.375,866.041.666.666.667,15.1,3.8,0,37,21615,17.117.742.308.582,NA,0.47,42,41,NA,12.54,3.92
2011-12-21,2.5,299.395.833.333.333,796.875,NA,51.75,949.583.333.333.333,15.8,5.8,0,47,25204,186.478.336.771.941,NA,0.37,22.29,27.08,NA,26.21,2.88
2011-12-22,3.875,314.020.833.333.333,671.875,NA,892.916.666.666.667,132.833.333.333.333,18.2,7.7,0,24,13182,182.066.454.255.803,NA,0.3,16.17,26.21,NA,23.08,2.33
2011-12-23,436.458.333.333.333,321.75,699.791.666.666.667,NA,966.666.666.666.667,109.729.166.666.667,16.2,8.3,0,30,14957,20.057.498.161.396,NA,0.24,4.67,10.25,NA,35.67,1.29
2011-12-24,3.775,322.104.166.666.667,710.208.333.333.333,NA,799.583.333.333.333,9.7,15.5,5.4,0,2,1354,147.710.487.444.609,NA,0.32,7.71,16.67,NA,32.75,1.21
2011-12-25,3.6,319.020.833.333.333,645.416.666.666.667,NA,994.166.666.666.667,786.041.666.666.667,14.4,4.5,0,3,1278,234.741.784.037.559,NA,0.4,12.21,26.71,NA,25.08,1.5
2011-12-26,315.625,2.829.375,707.291.666.666.667,NA,957.916.666.666.667,645.416.666.666.667,13.9,2.7,0,1,123,813.008.130.081.301,NA,0.39,13.79,34,NA,29.79,1.67
2011-12-27,392.916.666.666.667,245.208.333.333.333,647.708.333.333.333,NA,729.375,863.958.333.333.333,16.3,3.9,0,65,30507,213.065.853.738.486,NA,0.44,22.29,37.04,NA,19.08,2.62
2011-12-28,319.375,304.166.666.666.667,671.875,NA,985.833.333.333.333,7.875,16,3.4,0,63,30756,204.838.080.374.561,NA,0.29,6.54,18.29,NA,37.83,1.79
2011-12-29,311.041.666.666.667,310.541.666.666.667,625.208.333.333.333,NA,888.541.666.666.667,834.791.666.666.666,15,4.3,0,62,31547,196.532.158.366.881,NA,0.27,7.84,20.16,NA,47.38,1.32
2011-12-30,3.9375,311.291.666.666.667,557.916.666.666.667,NA,979.166.666.666.667,985.625,15.6,1.5,0,51,26805,190.263.010.632.345,NA,0.35,13.79,19.33,NA,33.38,1.46
2011-12-31,303.541.666.666.667,292.479.166.666.667,655.208.333.333.333,NA,993.333.333.333.333,116.708.333.333.333,16.8,8,0,3,2447,122.599.100.939.926,NA,0.35,13.58,18.12,NA,29.17,1.46
2012-01-01,341.041.666.666.667,298.729.166.666.667,750.208.333.333.333,NA,973.541.666.666.667,1.170.625,17.1,8,0,1,327,305.810.397.553.517,NA,0.31,12.67,16.88,NA,39.67,1.92
2012-01-02,334.583.333.333.333,304.5,601.875,NA,928.541.666.666.667,122.708.333.333.333,17.8,6.8,0.1,56,30010,186.604.465.178.274,NA,0.31,11.5,22.88,NA,31.18,2.3
2012-01-03,295.625,289.333.333.333.333,669.375,NA,94.25,924.791.666.666.667,15.1,5.2,0,32,16761,190.919.396.217.409,NA,0.33,19.5,25.29,NA,17.38,3.88
2012-01-04,315.416.666.666.667,265.354.166.666.667,759.166.666.666.667,NA,888.541.666.666.667,892.708.333.333.333,16.6,4.7,0,36,20238,177.883.190.038.541,NA,0.36,27.08,34.33,NA,23.92,04.04
2012-01-05,401.666.666.666.667,3.133.125,571.875,NA,202.916.666.666.667,1.169.375,16.3,7.5,0,28,14310,195.667.365.478.686,NA,0.27,8.96,13.67,NA,48.12,2.21
2012-01-06,236.666.666.666.667,2.424.375,710.208.333.333.333,NA,840.416.666.666.667,117.541.666.666.667,16.3,5.5,0,4,4204,951.474.785.918.173,NA,0.31,11.08,15.58,NA,35.96,02.04
2012-01-07,282.708.333.333.333,299.666.666.666.667,696.875,NA,102.895.833.333.333,811.875,14.7,3.6,0,12,8559,140.203.294.777.427,NA,0.28,8.38,11.17,NA,31.79,1.71
2012-01-08,368.958.333.333.333,314.25,722.083.333.333.333,NA,102.104.166.666.667,846.666.666.666.667,13.8,5.1,0,6,5080,118.110.236.220.472,NA,0.29,14.75,21.08,NA,22.42,2.21
2012-01-09,3.6625,306.604.166.666.667,731.875,NA,101.333.333.333.333,902.916.666.666.667,14.9,5.7,0,56,27058,206.962.820.607.584,NA,0.43,33.33,33.46,NA,14.79,4.25
2012-01-10,356.458.333.333.333,290.020.833.333.333,793.541.666.666.667,NA,100.520.833.333.333,7.4125,14.4,3.5,0,48,20354,235.825.881.890.537,NA,0.48,32.12,35.71,NA,13.29,3.42
2012-01-11,279.583.333.333.333,290.666.666.666.667,805.625,NA,861.666.666.666.667,733.125,14.7,3.8,0,42,26127,160.753.243.770.812,NA,0.51,39.86,36.67,NA,14.95,3.88
2012-01-12,343.333.333.333.333,296.270.833.333.333,824.375,NA,931.041.666.666.667,736.875,14.6,3.8,0,33,17093,193.061.487.158.486,NA,0.44,30.71,28.08,NA,10.67,3.58
2012-01-13,481.875,321.833.333.333.333,652.916.666.666.667,NA,1.081.875,664.791.666.666.666,13.4,3.2,0,31,15578,198.998.587.751.958,NA,0.33,13.75,14.21,NA,23.67,03.08
2012-01-14,430.208.333.333.333,302.375,70.375,NA,865.833.333.333.333,606.041.666.666.667,13,2.1,0,14,9344,149.828.767.123.288,NA,0.34,9.38,10.67,NA,29.33,3.5
2012-01-15,2.8125,273.416.666.666.667,75.75,NA,941.458.333.333.333,766.041.666.666.667,12.5,4.7,0,2,1620,123.456.790.123.457,NA,0.3,10.46,20.29,NA,35.17,3.83
2012-01-16,371.458.333.333.333,157.729.166.666.667,759.166.666.666.667,NA,527.708.333.333.333,875.833.333.333.333,12,3.7,0.4,60,34425,174.291.938.997.821,NA,0.33,11.71,17.46,NA,46.54,2.14
2012-01-17,296.875,1.624.375,747.083.333.333.333,NA,103.979.166.666.667,105.979.166.666.667,14.5,6.2,0.1,36,20362,176.799.921.422.257,NA,0.39,20,18.88,NA,21.46,2.17
2012-01-18,301.875,2.958.125,770.208.333.333.333,NA,109.979.166.666.667,741.875,14,4.1,0,58,28114,206.302.909.582.414,NA,0.55,48.14,41.36,NA,14.17,4.96
2012-01-19,348.541.666.666.667,295.729.166.666.667,729.375,NA,106.229.166.666.667,803.958.333.333.333,14.8,2.5,0,39,19299,202.083.009.482.357,NA,0.39,23.12,34.21,NA,17.25,3.29
2012-01-20,3.275,301.916.666.666.667,718.541.666.666.667,NA,108.333.333.333.333,100.145.833.333.333,17.5,6.1,0,33,14127,233.595.243.151.412,NA,0.41,16.79,35.33,NA,20.92,3.67
2012-01-21,296.875,2.955.625,68.125,NA,113.333.333.333.333,102.916.666.666.667,17.9,6,0,21,11337,185.234.188.938.873,NA,0.35,9.17,20.96,NA,28.83,03.08
2012-01-22,305.625,292.541.666.666.667,75.125,NA,117.895.833.333.333,1.019.375,17.8,6.5,0,3,2480,120.967.741.935.484,NA,0.37,17.75,30.38,NA,21.21,3.75
2012-01-23,401.875,317.083.333.333.333,686.666.666.666.667,NA,114.604.166.666.667,112.145.833.333.333,17.5,6.9,0,58,25538,227.112.538.178.401,NA,0.32,7.58,24.83,NA,27.43,3.17
2012-01-24,311.458.333.333.333,301.229.166.666.667,750.833.333.333.333,NA,113.458.333.333.333,947.291.666.666.666,15.4,5.7,0,59,28980,203.588.681.849.551,NA,0.41,19.08,35.46,NA,19.79,4.29
2012-01-25,336.041.666.666.667,288.75,761.666.666.666.667,NA,121.520.833.333.333,827.083.333.333.333,15.4,4.4,0,33,18881,174.778.878.237.381,NA,0.46,26.29,41.62,NA,15.62,5.25
2012-01-26,290.625,269.333.333.333.333,772.291.666.666.667,NA,109.979.166.666.667,833.333.333.333.333,15.4,3.6,0,57,27875,204.484.304.932.735,NA,0.36,11.17,41.54,NA,22.29,3.62
2012-01-27,268.541.666.666.667,252.041.666.666.667,772.291.666.666.667,NA,455.625,967.083.333.333.333,13.1,6.5,0,42,19582,214.482.688.183.025,NA,0.4,11.29,31.29,NA,11.42,2.83
2012-01-28,2.0375,282.416.666.666.667,851.458.333.333.333,NA,174.166.666.666.667,862.083.333.333.333,10,6.2,2.3,13,9374,138.681.459.355.665,NA,0.38,6.88,25.04,NA,28.21,3.12
2012-01-29,247.916.666.666.667,258.25,758.333.333.333.333,NA,840.416.666.666.667,578.125,11,2,0,2,1732,115.473.441.108.545,NA,0.36,10.38,33.21,NA,29.67,3.88
2012-01-30,292.291.666.666.667,294.770.833.333.333,607.291.666.666.667,NA,131.5,558.125,11.9,0.8,0,79,36665,215.464.339.288.149,NA,0.43,23.88,42.62,NA,19.5,4.92
2012-01-31,298.125,2.755.625,574.583.333.333.333,NA,671.875,664.583.333.333.333,12,1.7,0,59,27332,215.864.188.497,NA,0.48,29,42.36,NA,10.29,4.41
