date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,c6h6,co,no,no2,nox,o3,so2,casos_total,poblacio_total,incidencia_1000
2011-10-04,2.9125,268.229.166.666.667,618.333.333.333.333,NA,200.770.833.333.333,210.354.166.666.667,28.9,15.8,0,NA,0.48,12.21,59.29,NA,53.38,4.54,57,28989,196.626.306.530.063
2011-10-05,319.166.666.666.667,241.145.833.333.333,61.625,NA,2.015.625,215.791.666.666.667,28.7,15.8,0,NA,0.48,43.71,63.08,NA,47.92,7.71,52,19853,261.925.149.851.408
2011-10-06,231.875,262.375,781.875,NA,185.479.166.666.667,210.979.166.666.667,27,17,0,NA,0.63,15.35,50.43,NA,50.48,2.83,53,22428,236.311.753.165.686
2011-10-07,312.916.666.666.667,226.770.833.333.333,718.541.666.666.667,NA,118.5,200.479.166.666.667,23.9,16.9,0,NA,0.54,12.92,36.79,NA,31.86,1.91,29,14571,199.025.461.533.182
2011-10-08,291.041.666.666.667,231.25,562.916.666.666.667,NA,185.958.333.333.333,183.708.333.333.333,23.6,12.8,0,NA,0.44,9.42,29.42,NA,43.96,2.58,36,16779,214.553.906.669.051
2011-10-09,267.916.666.666.667,282.979.166.666.667,597.291.666.666.667,NA,195.791.666.666.667,1.836.875,24.8,14.4,0,NA,0.47,04.08,27.42,NA,43.38,2.54,94,38011,247.296.835.126.674
2011-10-10,363.125,270.395.833.333.333,582.083.333.333.333,NA,193.229.166.666.667,213.229.166.666.667,28.3,15.7,0,NA,0.53,12.12,37.42,NA,33.5,3.67,57,22433,25.408.995.676.013
2011-10-11,299.166.666.666.667,2.746.875,556.041.666.666.667,NA,190.625,216.270.833.333.333,28.5,17,0,NA,0.6,22.04,50.17,NA,27.21,4.67,25,16815,148.676.776.687.481
2011-10-12,308.333.333.333.333,273.375,572.291.666.666.667,NA,189.916.666.666.667,216.020.833.333.333,29.6,16.5,0,NA,0.58,6.79,40.71,NA,46.92,4.46,66,26465,24.938.598.148.498
2011-10-13,248.125,209.979.166.666.667,697.916.666.666.667,NA,1.603.125,208.833.333.333.333,26.5,16.2,0,NA,0.61,28.08,43.5,NA,41.29,3.67,63,25606,24.603.608.529.251
2011-10-14,236.458.333.333.333,2.083.125,667.291.666.666.667,NA,164.270.833.333.333,200.020.833.333.333,24.9,16,0,NA,0.61,60.23,46.5,NA,32.71,3.35,9,5229,172.117.039.586.919
2011-10-15,259.791.666.666.667,197.354.166.666.667,656.666.666.666.667,NA,143.75,1.838.125,22.5,13.2,0,NA,0.6,17.33,36.88,NA,45.5,2,15,12000,1.25
2011-10-16,223.125,267.729.166.666.667,69.125,NA,1.564.375,1.845.625,23.5,13.8,0,NA,0.66,4.75,35.38,NA,46.79,2.75,54,24608,219.440.832.249.675
2011-10-17,2.2875,263.666.666.666.667,787.083.333.333.333,NA,972.916.666.666.667,1.773.125,23.5,14.2,0.3,NA,0.7,21.12,49.83,NA,30.71,2.42,67,36827,181.931.734.868.439
2011-10-18,332.083.333.333.333,277.125,752.083.333.333.333,NA,172.458.333.333.333,1.784.375,24.3,13.5,0,NA,0.71,15.83,44.79,NA,37.33,2.46,54,29252,184.602.762.204.294
2011-10-19,378.958.333.333.333,243.729.166.666.667,745.416.666.666.667,NA,1.560.625,183.604.166.666.667,23.4,13.4,0.1,NA,0.75,12.04,40.75,NA,43.62,2.67,52,22774,228.330.552.384.298
2011-10-20,255.416.666.666.667,252.583.333.333.333,652.083.333.333.333,NA,103.208.333.333.333,153.666.666.666.667,20.3,10.8,0,NA,0.52,17.33,40.67,NA,34.52,02.08,34,14450,235.294.117.647.059
2011-10-21,273.958.333.333.333,213.416.666.666.667,631.875,NA,667.291.666.666.667,144.229.166.666.667,17.8,9.7,0,NA,0.3,13.71,37.62,NA,32.33,3.54,29,8001,362.454.693.163.355
2011-10-22,222.708.333.333.333,192.270.833.333.333,758.333.333.333.333,NA,101.375,165.875,20.8,12.8,0,NA,0.37,6.38,35.12,NA,43.42,1.5,11,7841,140.288.228.542.278
2011-10-23,212.708.333.333.333,299.979.166.666.667,86.625,NA,513.333.333.333.333,155.833.333.333.333,19.5,13.1,3.6,NA,0.42,8.92,38.5,NA,22.38,1.92,76,33037,230.045.100.947.423
2011-10-24,182.916.666.666.667,232.145.833.333.333,925.833.333.333.333,NA,645.208.333.333.333,166.145.833.333.333,20.8,14.2,46.4,NA,0.5,30.58,51.96,NA,21.96,1.58,62,33843,183.198.888.987.383
2011-10-25,307.083.333.333.333,3.071.875,637.708.333.333.333,NA,164.375,164.395.833.333.333,21.2,11.3,0.3,NA,0.39,9.54,34.33,NA,33.08,1.12,71,31942,222.277.878.655.062
2011-10-26,268.541.666.666.667,279.104.166.666.667,620.625,NA,149.791.666.666.667,145.979.166.666.667,20.8,9,0,NA,0.45,23.29,49.71,NA,22.12,2.79,65,31160,208.600.770.218.229
2011-10-27,198.958.333.333.333,285.875,856.875,NA,244.791.666.666.667,163.541.666.666.667,21.2,14.1,15.9,NA,0.58,50.5,60.08,NA,19.71,2.42,47,22190,211.807.120.324.471
2011-10-28,251.875,230.416.666.666.667,907.916.666.666.667,NA,490.833.333.333.333,17.075,19.6,15.1,33.3,NA,0.54,22.23,49,NA,15.92,1.64,10,8161,122.534.003.185.884
2011-10-29,2.8,186.854.166.666.667,83.625,NA,690.416.666.666.667,182.333.333.333.333,22,15.5,0,NA,0.51,7.79,28.71,NA,31.46,1.21,16,12274,130.356.851.882.027
2011-10-30,217.083.333.333.333,273.229.166.666.667,814.375,NA,134.104.166.666.667,176.645.833.333.333,23.3,14,0,NA,0.55,8.17,26.83,NA,26.96,1.5,37,11597,319.048.029.662.844
2011-10-31,208.541.666.666.667,278.354.166.666.667,872.708.333.333.333,NA,922.708.333.333.333,162.916.666.666.667,20.8,12.8,0,NA,0.62,27.62,35.12,NA,23.38,2.21,22,11028,19.949.220.166.848
2011-11-01,185.208.333.333.333,253.583.333.333.333,905.208.333.333.333,NA,846.875,17.825,22.3,14.2,0,NA,0.93,23.38,32.21,NA,32.5,1.46,69,36181,19.070.783.007.656
2011-11-02,306.458.333.333.333,224.020.833.333.333,871.875,NA,122.895.833.333.333,192.770.833.333.333,22.2,16.1,33.8,NA,0.58,22.5,41.42,NA,27.26,1.17,41,26585,154.222.305.811.548
2011-11-03,270.416.666.666.667,2.376.875,893.541.666.666.667,NA,50.375,187.708.333.333.333,21.8,15.9,0.2,NA,0.67,33.52,46.21,NA,22.79,1.46,46,20714,222.072.028.579.705
2011-11-04,273.958.333.333.333,2.120.625,917.708.333.333.333,NA,305.625,163.291.666.666.667,19.2,14.4,23.7,NA,0.62,33.79,45.79,NA,24.64,01.08,51,23015,221.594.612.209.429
2011-11-05,196.458.333.333.333,2.486.875,862.083.333.333.333,NA,743.125,152.395.833.333.333,18.1,12.7,6.2,NA,0.59,25.5,36.12,NA,32.67,1.21,9,3932,228.891.149.542.218
2011-11-06,270.833.333.333.333,259.833.333.333.333,886.875,NA,27.625,136.583.333.333.333,16.6,11.6,23.6,NA,0.57,3.25,25.21,NA,34.83,1,59,29223,201.895.767.032.817
2011-11-07,250.416.666.666.667,2.954.375,751.666.666.666.667,NA,860.416.666.666.667,1.581.875,21,13.3,0.1,NA,0.66,24.29,41.38,NA,17.5,01.04,44,18202,2.417.316.778.376
2011-11-08,260.625,276.875,777.291.666.666.667,NA,1.319.375,1.550.625,20.7,12.4,0,NA,0.57,30.42,36.54,NA,13.46,1.48,36,17571,20.488.304.592.795
2011-11-09,262.083.333.333.333,2.766.875,80.625,NA,128.479.166.666.667,1.434.375,20.4,10.9,0,NA,0.45,44.92,45.08,NA,12.23,3.62,26,14022,185.422.906.860.648
2011-11-10,310.416.666.666.667,278.354.166.666.667,81.875,NA,119.541.666.666.667,146.479.166.666.667,20,11,0,NA,0.45,36.21,51.21,NA,15.92,2.92,29,12530,231.444.533.120.511
2011-11-11,239.166.666.666.667,271.833.333.333.333,871.875,NA,124.458.333.333.333,156.770.833.333.333,21.3,11.7,0,NA,0.51,29.86,44.95,NA,22.67,2.71,4,2521,158.667.195.557.319
2011-11-12,1.75,219.520.833.333.333,875.208.333.333.333,NA,102.645.833.333.333,169.625,20.9,14.3,0,NA,0.58,78.5,58.54,NA,14.79,5.83,15,9583,156.527.183.554.211
2011-11-13,236.041.666.666.667,190.5,87.125,NA,327.708.333.333.333,16.05,17.6,14.4,7.7,NA,0.45,4.71,33.71,NA,32.33,1.79,60,26653,225.115.371.627.959
2011-11-14,2.325,181.5,880.625,NA,327.708.333.333.333,149.916.666.666.667,17.6,13.6,4.5,NA,0.48,33.92,54.67,NA,21.42,1.58,39,20891,186.683.260.734.287
2011-11-15,332.916.666.666.667,131.333.333.333.333,90.625,NA,247.291.666.666.667,153.104.166.666.667,17.7,13.2,46.9,NA,0.43,27.54,44.5,NA,36.54,1.33,35,19983,175.148.876.545.063
2011-11-16,240.208.333.333.333,178.583.333.333.333,843.125,NA,269.791.666.666.667,149.854.166.666.667,16.4,13.1,14,NA,0.44,13.71,45.21,NA,27.92,1.17,44,16013,274.776.743.895.585
2011-11-17,169.791.666.666.667,194.083.333.333.333,78.75,NA,717.083.333.333.333,1.524.375,17.7,13.4,0.6,NA,0.5,60.92,51.46,NA,23.5,2.62,41,20310,201.870.999.507.632
2011-11-18,210.833.333.333.333,254.416.666.666.667,868.958.333.333.333,NA,660.625,131.458.333.333.333,17.1,10.8,0,NA,0.63,70.04,51.42,NA,10.83,3,11,8849,124.307.831.393.378
2011-11-19,266.041.666.666.667,238.375,864.583.333.333.333,NA,51.75,134.083.333.333.333,17.1,9.8,0.6,NA,0.53,29.58,39.29,NA,16.83,2,12,5278,227.358.848.048.503
2011-11-20,286.875,1.549.375,850.416.666.666.667,NA,983.541.666.666.667,16.5,19.4,14.1,0.1,NA,0.48,13.42,29.79,NA,39.83,1.38,57,23134,246.390.593.931.011
2011-11-21,306.458.333.333.333,145.229.166.666.667,821.041.666.666.667,NA,596.458.333.333.333,155.125,19.1,13.2,4.1,NA,0.52,29.62,43.33,NA,26.13,1.42,56,27556,203.222.528.668.892
2011-11-22,403.333.333.333.333,422.291.666.666.667,724.791.666.666.667,NA,428.333.333.333.333,164.541.666.666.667,17.4,14.6,0.2,NA,0.49,7.79,30.46,NA,44.25,1,57,29647,192.262.286.234.695
2011-11-23,256.875,285.395.833.333.333,724.166.666.666.667,NA,111.520.833.333.333,147.125,20.6,10.4,0,NA,0.54,27.75,39.08,NA,19.08,2.29,50,29020,172.294.968.986.906
2011-11-24,2.8,261.458.333.333.333,801.875,NA,106.5,127.229.166.666.667,19.2,9.2,0,NA,0.65,61.14,46.45,NA,10.38,3.77,41,16086,254.880.019.893.075
2011-11-25,260.625,285.958.333.333.333,80,NA,106.520.833.333.333,121.916.666.666.667,18.7,8.7,0,NA,0.67,46.58,41.54,NA,10.46,3.29,25,12149,205.778.253.354.186
2011-11-26,406.041.666.666.667,324.958.333.333.333,727.916.666.666.667,NA,111.958.333.333.333,11.1375,16.3,8,0,NA,0.55,9.29,26.75,NA,13.25,02.08,16,7358,217.450.394.128.839
2011-11-27,3.1375,278.166.666.666.667,821.875,NA,72.875,104.708.333.333.333,16.8,6.2,0,NA,0.67,16.42,30.21,NA,15,2.96,89,36611,243.096.337.166.425
2011-11-28,277.291.666.666.667,282.166.666.666.667,810.416.666.666.667,NA,60.5,115.291.666.666.667,16.9,8.2,0,NA,0.75,73.61,49.91,NA,3.7,3.96,64,26892,237.988.993.009.073
2011-11-29,323.125,300.604.166.666.667,745.833.333.333.333,NA,95.875,127.958.333.333.333,19.5,9.9,0,NA,0.56,33.88,45.46,NA,11.12,2.62,53,23677,22.384.592.642.649
2011-11-30,291.875,291.333.333.333.333,776.458.333.333.333,NA,1.010.625,11.2,18.2,8.1,0,NA,0.4,34.33,44.67,NA,7.77,2.79,51,21739,234.601.407.608.446
2011-12-01,298.333.333.333.333,286.395.833.333.333,820.416.666.666.667,NA,98.125,112.958.333.333.333,17.2,6.7,0,NA,0.4,20.46,37.75,NA,20.75,2.83,55,25379,216.714.606.564.482
2011-12-02,306.458.333.333.333,317.583.333.333.333,750.416.666.666.667,NA,74.75,127.604.166.666.667,18.3,9.4,0,NA,0.41,28.21,47.46,NA,9.79,2.62,18,13499,133.343.210.608.193
2011-12-03,340.416.666.666.667,325.25,692.291.666.666.667,NA,859.583.333.333.333,1.211.875,14.8,10.1,0.4,NA,0.33,04.04,27.67,NA,18.46,1.38,24,19608,122.399.020.807.834
2011-12-04,213.333.333.333.333,306.875,717.291.666.666.667,NA,972.916.666.666.667,115.979.166.666.667,17.1,7.9,0,NA,0.37,5.92,28.92,NA,24.38,1.12,59,28738,205.303.083.025.959
2011-12-05,243.333.333.333.333,269.145.833.333.333,742.708.333.333.333,NA,98,1.183.125,17.3,6.7,0,NA,0.4,42.88,42.17,NA,13.17,2.25,37,23557,157.065.840.302.246
2011-12-06,240.833.333.333.333,301.166.666.666.667,749.791.666.666.667,NA,1.000.625,111.354.166.666.667,17.3,7.6,0,NA,0.43,16.71,37.25,NA,20.92,1.58,55,27327,201.266.147.034.069
2011-12-07,306.458.333.333.333,305.895.833.333.333,715.833.333.333.333,NA,99.375,110.083.333.333.333,17.2,7.2,0,NA,0.48,35.38,45.29,NA,11.29,2.33,28,15466,181.042.286.305.444
2011-12-08,307.291.666.666.667,294.354.166.666.667,772.083.333.333.333,NA,970.833.333.333.333,11.2,17.4,7.6,0,NA,0.48,17.42,31.83,NA,14.42,1.88,44,19846,221.707.145.016.628
2011-12-09,3.175,313.229.166.666.667,806.041.666.666.667,NA,835.625,943.958.333.333.333,13.9,6,0,NA,0.58,55.25,42.88,NA,3.88,2.88,7,3995,175.219.023.779.725
2011-12-10,3.275,319.708.333.333.333,76.875,NA,840.208.333.333.333,970.833.333.333.333,14.9,6.6,0,NA,0.52,17.25,31.33,NA,8.17,2.29,30,21565,139.114.305.587.758
2011-12-11,334.791.666.666.667,305.020.833.333.333,78,NA,842.708.333.333.333,8.6125,15.2,5.1,0,NA,0.49,9.25,25.58,NA,12.96,1.88,63,30799,204.552.095.847.268
2011-12-12,312.708.333.333.333,3.168.125,736.041.666.666.667,NA,969.583.333.333.333,980.625,16.3,6.2,0,NA,0.48,34.63,37.32,NA,8.78,1.95,65,32286,201.325.651.985.381
2011-12-13,2.6375,297.875,736.875,NA,834.375,989.375,17.5,5.1,0,NA,0.63,67.25,45.05,NA,13.54,3.25,52,23392,222.298.221.614.227
2011-12-14,278.541.666.666.667,259.270.833.333.333,687.291.666.666.667,NA,778.125,133.625,19.5,9,0,NA,0.58,40.58,42.29,NA,20,2.54,33,16632,198.412.698.412.698
2011-12-15,372.083.333.333.333,295.208.333.333.333,600.833.333.333.333,NA,83,115.145.833.333.333,16.2,7.9,0,NA,0.55,13.33,33.38,NA,28.96,1.46,47,24867,189.005.509.309.527
2011-12-16,544.166.666.666.667,270.75,53.25,NA,483.958.333.333.333,140.166.666.666.667,17.9,11.2,0,NA,0.33,02.09,17.67,NA,49,1.29,3,411,72.992.700.729.927
2011-12-17,597.291.666.666.667,321.5,547.708.333.333.333,NA,989.791.666.666.667,103.291.666.666.667,13.8,7.7,0,NA,0.3,1.59,12.24,NA,54.29,1,33,22462,146.914.789.422.135
2011-12-18,359.166.666.666.667,317.208.333.333.333,562.083.333.333.333,NA,995.208.333.333.333,780.416.666.666.667,13.5,2.8,0,NA,0.32,10.92,24.58,NA,36.21,1.33,84,37488,224.071.702.944.942
2011-12-19,252.916.666.666.667,3.005.625,624.166.666.666.667,NA,702.083.333.333.333,619.791.666.666.667,11.6,2,0,NA,0.45,53.38,53.67,NA,10.17,3.38,51,21303,239.402.900.999.859
2011-12-20,310.416.666.666.667,3.184.375,709.583.333.333.333,NA,65.375,866.041.666.666.667,15.1,3.8,0,NA,0.41,37.75,45.58,NA,7.96,2.29,40,17800,224.719.101.123.596
2011-12-21,2.5,299.395.833.333.333,796.875,NA,51.75,949.583.333.333.333,15.8,5.8,0,NA,0.55,75.29,51.88,NA,3.17,2.88,24,14241,168.527.491.046.977
2011-12-22,3.875,314.020.833.333.333,671.875,NA,892.916.666.666.667,132.833.333.333.333,18.2,7.7,0,NA,0.42,30.17,37.21,NA,19.91,1.54,42,18891,222.328.092.742.576
2011-12-23,436.458.333.333.333,321.75,699.791.666.666.667,NA,966.666.666.666.667,109.729.166.666.667,16.2,8.3,0,NA,0.33,17.38,33.38,NA,12.58,1.17,41,23025,178.067.318.132.465
2011-12-24,3.775,322.104.166.666.667,710.208.333.333.333,NA,799.583.333.333.333,9.7,15.5,5.4,0,NA,0.29,07.04,25.29,NA,16.5,1,21,12395,169.423.154.497.781
2011-12-25,3.6,319.020.833.333.333,645.416.666.666.667,NA,994.166.666.666.667,786.041.666.666.667,14.4,4.5,0,NA,0.33,9.75,25.21,NA,22.5,1.38,23,12246,187.816.429.854.646
2011-12-26,315.625,2.829.375,707.291.666.666.667,NA,957.916.666.666.667,645.416.666.666.667,13.9,2.7,0,NA,0.38,17.5,33.17,NA,15.79,1.78,45,19735,228.021.281.986.319
2011-12-27,392.916.666.666.667,245.208.333.333.333,647.708.333.333.333,NA,729.375,863.958.333.333.333,16.3,3.9,0,NA,0.4,50.3,44.5,NA,11.33,2.92,55,29475,186.598.812.553.011
2011-12-28,319.375,304.166.666.666.667,671.875,NA,985.833.333.333.333,7.875,16,3.4,0,NA,0.46,32.25,42.88,NA,10.38,1.88,29,10942,265.033.814.659.112
2011-12-29,311.041.666.666.667,310.541.666.666.667,625.208.333.333.333,NA,888.541.666.666.667,834.791.666.666.666,15,4.3,0,NA,0.39,22.33,40.5,NA,11.42,2.17,41,16624,246.631.376.323.388
2011-12-30,3.9375,311.291.666.666.667,557.916.666.666.667,NA,979.166.666.666.667,985.625,15.6,1.5,0,NA,0.27,13.83,34.54,NA,24.71,1.71,6,2495,240.480.961.923.848
2011-12-31,303.541.666.666.667,292.479.166.666.667,655.208.333.333.333,NA,993.333.333.333.333,116.708.333.333.333,16.8,8,0,NA,0.29,2.83,23.71,NA,31.54,01.08,22,15261,144.158.312.037.219
2012-01-01,341.041.666.666.667,298.729.166.666.667,750.208.333.333.333,NA,973.541.666.666.667,1.170.625,17.1,8,0,NA,0.34,4.96,22,NA,26.92,1,82,33415,245.398.773.006.135
2012-01-02,334.583.333.333.333,304.5,601.875,NA,928.541.666.666.667,122.708.333.333.333,17.8,6.8,0.1,NA,0.35,13.58,31.08,NA,23.62,1.12,56,28536,196.243.341.743.762
2012-01-03,295.625,289.333.333.333.333,669.375,NA,94.25,924.791.666.666.667,15.1,5.2,0,NA,0.41,32,39.58,NA,17.4,1.67,41,22458,182.563.006.501.024
2012-01-04,315.416.666.666.667,265.354.166.666.667,759.166.666.666.667,NA,888.541.666.666.667,892.708.333.333.333,16.6,4.7,0,NA,0.5,65.58,41.92,NA,05.09,3.21,26,11682,22.256.462.934.429
2012-01-05,401.666.666.666.667,3.133.125,571.875,NA,202.916.666.666.667,1.169.375,16.3,7.5,0,NA,0.4,34.46,39.83,NA,13.95,2.42,28,15981,17.520.805.957.074
2012-01-06,236.666.666.666.667,2.424.375,710.208.333.333.333,NA,840.416.666.666.667,117.541.666.666.667,16.3,5.5,0,NA,0.32,18.42,26.67,NA,38.46,1.12,10,7670,130.378.096.479.791
2012-01-07,282.708.333.333.333,299.666.666.666.667,696.875,NA,102.895.833.333.333,811.875,14.7,3.6,0,NA,0.4,23.12,34.75,NA,17.62,2,19,9363,202.926.412.474.634
2012-01-08,368.958.333.333.333,314.25,722.083.333.333.333,NA,102.104.166.666.667,846.666.666.666.667,13.8,5.1,0,NA,0.34,7.45,25.95,NA,18.55,1.59,59,31403,187.880.138.840.238
2012-01-09,3.6625,306.604.166.666.667,731.875,NA,101.333.333.333.333,902.916.666.666.667,14.9,5.7,0,NA,0.41,37.43,37.86,NA,15.29,2.36,37,19986,185.129.590.713.499
2012-01-10,356.458.333.333.333,290.020.833.333.333,793.541.666.666.667,NA,100.520.833.333.333,7.4125,14.4,3.5,0,NA,0.48,42.46,38,NA,9.17,2.71,50,26644,187.659.510.583.996
2012-01-11,279.583.333.333.333,290.666.666.666.667,805.625,NA,861.666.666.666.667,733.125,14.7,3.8,0,NA,0.52,69.33,43.46,NA,07.08,3.46,38,24589,154.540.648.257.351
2012-01-12,343.333.333.333.333,296.270.833.333.333,824.375,NA,931.041.666.666.667,736.875,14.6,3.8,0,NA,0.44,45.67,40.33,NA,11.71,3.25,36,21795,165.175.498.967.653
2012-01-13,481.875,321.833.333.333.333,652.916.666.666.667,NA,1.081.875,664.791.666.666.666,13.4,3.2,0,NA,0.35,19.65,36.75,NA,6.42,1.67,26,12184,213.394.615.889.691
2012-01-14,430.208.333.333.333,302.375,70.375,NA,865.833.333.333.333,606.041.666.666.667,13,2.1,0,NA,0.37,18.33,30.46,NA,11.79,01.04,22,15565,141.342.756.183.746
2012-01-15,2.8125,273.416.666.666.667,75.75,NA,941.458.333.333.333,766.041.666.666.667,12.5,4.7,0,NA,0.46,17.96,33.38,NA,15.75,1,64,32483,197.026.136.748.453
2012-01-16,371.458.333.333.333,157.729.166.666.667,759.166.666.666.667,NA,527.708.333.333.333,875.833.333.333.333,12,3.7,0.4,NA,0.48,38.71,41.62,NA,21.12,1.29,48,22658,211.845.705.711.007
2012-01-17,296.875,1.624.375,747.083.333.333.333,NA,103.979.166.666.667,105.979.166.666.667,14.5,6.2,0.1,NA,0.51,68.3,46.88,NA,23.21,1.42,46,23082,199.289.489.645.611
2012-01-18,301.875,2.958.125,770.208.333.333.333,NA,109.979.166.666.667,741.875,14,4.1,0,NA,0.55,57.58,40.75,NA,9.33,1.46,37,20633,17.932.438.326.952
2012-01-19,348.541.666.666.667,295.729.166.666.667,729.375,NA,106.229.166.666.667,803.958.333.333.333,14.8,2.5,0,NA,0.5,39.75,38.21,NA,11.42,2.46,50,26471,18.888.595.066.299
2012-01-20,3.275,301.916.666.666.667,718.541.666.666.667,NA,108.333.333.333.333,100.145.833.333.333,17.5,6.1,0,NA,0.45,40.68,40.32,NA,9.32,2.14,5,3705,134.952.766.531.714
2012-01-21,296.875,2.955.625,68.125,NA,113.333.333.333.333,102.916.666.666.667,17.9,6,0,NA,0.38,26.77,40.73,NA,18.92,2.33,21,13614,154.252.974.878.801
2012-01-22,305.625,292.541.666.666.667,75.125,NA,117.895.833.333.333,1.019.375,17.8,6.5,0,NA,0.38,20.42,33.92,NA,18.25,1.92,77,34366,224.058.662.631.671
2012-01-23,401.875,317.083.333.333.333,686.666.666.666.667,NA,114.604.166.666.667,112.145.833.333.333,17.5,6.9,0,NA,0.37,30.96,39,NA,7.83,1.71,64,29981,213.468.530.069.044
2012-01-24,311.458.333.333.333,301.229.166.666.667,750.833.333.333.333,NA,113.458.333.333.333,947.291.666.666.666,15.4,5.7,0,NA,0.41,56.88,32.67,NA,11.58,2.42,35,16834,207.912.557.918.498
2012-01-25,336.041.666.666.667,288.75,761.666.666.666.667,NA,121.520.833.333.333,827.083.333.333.333,15.4,4.4,0,NA,0.45,56.17,32.5,NA,13.62,2.83,42,19808,212.035.541.195.477
2012-01-26,290.625,269.333.333.333.333,772.291.666.666.667,NA,109.979.166.666.667,833.333.333.333.333,15.4,3.6,0,NA,0.51,78.38,36.04,NA,10.46,3.5,47,19021,247.095.315.703.696
2012-01-27,268.541.666.666.667,252.041.666.666.667,772.291.666.666.667,NA,455.625,967.083.333.333.333,13.1,6.5,0,NA,0.5,128.13,22.35,NA,6.43,3.26,43,22306,192.773.244.866.852
2012-01-28,2.0375,282.416.666.666.667,851.458.333.333.333,NA,174.166.666.666.667,862.083.333.333.333,10,6.2,2.3,NA,0.42,46.71,38.92,NA,3.88,1.42,19,13810,137.581.462.708.182
2012-01-29,247.916.666.666.667,258.25,758.333.333.333.333,NA,840.416.666.666.667,578.125,11,2,0,NA,0.42,23.42,37.79,NA,21.96,1.67,55,23695,232.116.480.270.099
2012-01-30,292.291.666.666.667,294.770.833.333.333,607.291.666.666.667,NA,131.5,558.125,11.9,0.8,0,NA,0.43,67.04,39.33,NA,13.46,3.38,62,30343,204.330.488.086.214
2012-01-31,298.125,2.755.625,574.583.333.333.333,NA,671.875,664.583.333.333.333,12,1.7,0,NA,0.52,62.14,39.27,NA,9,4.23,50,28461,17.567.899.933.242
