,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,so2
13,2011-09-29,336.041.666.666.667,200.395.833.333.333,695.416.666.666.667,NA,205.375,212.708.333.333.333,27.1,16,0,NA,NA,NA,NA,NA,NA,NA,NA
14,2011-09-30,293.333.333.333.333,200.645.833.333.333,743.125,NA,191.5,207.666.666.666.667,25.4,15.6,0,NA,NA,NA,NA,NA,NA,NA,NA
15,2011-10-01,278.958.333.333.333,218.875,766.666.666.666.667,NA,186.770.833.333.333,2.053.125,25.4,16.3,0,NA,NA,NA,NA,NA,NA,NA,NA
16,2011-10-02,3.3,274.604.166.666.667,739.166.666.666.667,NA,210.770.833.333.333,202.229.166.666.667,26.3,15.6,0,NA,NA,NA,NA,NA,NA,NA,NA
17,2011-10-03,266.458.333.333.333,256.041.666.666.667,598.125,NA,203.666.666.666.667,215.270.833.333.333,29.6,16.3,0,33,10172,32.441.997.640.582,NA,NA,NA,NA,NA
18,2011-10-04,2.9125,268.229.166.666.667,618.333.333.333.333,NA,200.770.833.333.333,210.354.166.666.667,28.9,15.8,0,30,10645,281.822.451.855.331,NA,NA,NA,NA,NA
19,2011-10-05,319.166.666.666.667,241.145.833.333.333,61.625,NA,2.015.625,215.791.666.666.667,28.7,15.8,0,20,8444,236.854.571.293.226,NA,NA,NA,NA,NA
20,2011-10-06,231.875,262.375,781.875,NA,185.479.166.666.667,210.979.166.666.667,27,17,0,28,7846,356.869.742.543.971,NA,NA,NA,NA,NA
21,2011-10-07,312.916.666.666.667,226.770.833.333.333,718.541.666.666.667,NA,118.5,200.479.166.666.667,23.9,16.9,0,28,9730,287.769.784.172.662,NA,NA,NA,NA,NA
22,2011-10-08,291.041.666.666.667,231.25,562.916.666.666.667,NA,185.958.333.333.333,183.708.333.333.333,23.6,12.8,0,8,3992,200.400.801.603.206,NA,NA,NA,NA,NA
23,2011-10-09,267.916.666.666.667,282.979.166.666.667,597.291.666.666.667,NA,195.791.666.666.667,1.836.875,24.8,14.4,0,12,6413,187.119.912.677.374,NA,NA,NA,NA,NA
24,2011-10-10,363.125,270.395.833.333.333,582.083.333.333.333,NA,193.229.166.666.667,213.229.166.666.667,28.3,15.7,0,38,11651,326.152.261.608.446,NA,NA,NA,NA,NA
25,2011-10-11,299.166.666.666.667,2.746.875,556.041.666.666.667,NA,190.625,216.270.833.333.333,28.5,17,0,30,9074,33.061.494.379.546,NA,NA,NA,NA,NA
26,2011-10-12,308.333.333.333.333,273.375,572.291.666.666.667,NA,189.916.666.666.667,216.020.833.333.333,29.6,16.5,0,7,2201,318.037.255.792.821,NA,NA,NA,NA,NA
27,2011-10-13,248.125,209.979.166.666.667,697.916.666.666.667,NA,1.603.125,208.833.333.333.333,26.5,16.2,0,28,10006,279.832.100.739.556,NA,NA,NA,NA,NA
28,2011-10-14,236.458.333.333.333,2.083.125,667.291.666.666.667,NA,164.270.833.333.333,200.020.833.333.333,24.9,16,0,33,10091,327.024.080.864.136,NA,NA,NA,NA,NA
29,2011-10-15,259.791.666.666.667,197.354.166.666.667,656.666.666.666.667,NA,143.75,1.838.125,22.5,13.2,0,3,2137,140.383.715.489.003,NA,NA,NA,NA,NA
30,2011-10-16,223.125,267.729.166.666.667,69.125,NA,1.564.375,1.845.625,23.5,13.8,0,2,916,218.340.611.353.712,NA,NA,NA,NA,NA
31,2011-10-17,2.2875,263.666.666.666.667,787.083.333.333.333,NA,972.916.666.666.667,1.773.125,23.5,14.2,0.3,26,11224,231.646.471.846.044,NA,NA,NA,NA,NA
32,2011-10-18,332.083.333.333.333,277.125,752.083.333.333.333,NA,172.458.333.333.333,1.784.375,24.3,13.5,0,27,13318,202.733.143.114.582,NA,NA,NA,NA,NA
33,2011-10-19,378.958.333.333.333,243.729.166.666.667,745.416.666.666.667,NA,1.560.625,183.604.166.666.667,23.4,13.4,0.1,25,13078,191.160.727.940.052,NA,NA,NA,NA,NA
34,2011-10-20,255.416.666.666.667,252.583.333.333.333,652.083.333.333.333,NA,103.208.333.333.333,153.666.666.666.667,20.3,10.8,0,27,7667,352.158.601.799.922,NA,NA,NA,NA,NA
35,2011-10-21,273.958.333.333.333,213.416.666.666.667,631.875,NA,667.291.666.666.667,144.229.166.666.667,17.8,9.7,0,17,5515,308.250.226.654.578,NA,NA,NA,NA,NA
36,2011-10-22,222.708.333.333.333,192.270.833.333.333,758.333.333.333.333,NA,101.375,165.875,20.8,12.8,0,7,2125,329.411.764.705.882,NA,NA,NA,NA,NA
37,2011-10-23,212.708.333.333.333,299.979.166.666.667,86.625,NA,513.333.333.333.333,155.833.333.333.333,19.5,13.1,3.6,2,1086,184.162.062.615.101,NA,NA,NA,NA,NA
38,2011-10-24,182.916.666.666.667,232.145.833.333.333,925.833.333.333.333,NA,645.208.333.333.333,166.145.833.333.333,20.8,14.2,46.4,30,12163,246.649.675.244.594,NA,NA,NA,NA,NA
39,2011-10-25,307.083.333.333.333,3.071.875,637.708.333.333.333,NA,164.375,164.395.833.333.333,21.2,11.3,0.3,23,8635,26.635.784.597.568,NA,NA,NA,NA,NA
40,2011-10-26,268.541.666.666.667,279.104.166.666.667,620.625,NA,149.791.666.666.667,145.979.166.666.667,20.8,9,0,30,10223,293.455.932.700.773,NA,NA,NA,NA,NA
41,2011-10-27,198.958.333.333.333,285.875,856.875,NA,244.791.666.666.667,163.541.666.666.667,21.2,14.1,15.9,34,13570,250.552.689.756.816,NA,NA,NA,NA,NA
42,2011-10-28,251.875,230.416.666.666.667,907.916.666.666.667,NA,490.833.333.333.333,17.075,19.6,15.1,33.3,21,7526,279.032.686.686.155,NA,NA,NA,NA,NA
43,2011-10-29,2.8,186.854.166.666.667,83.625,NA,690.416.666.666.667,182.333.333.333.333,22,15.5,0,NA,NA,NA,NA,NA,NA,NA,NA
44,2011-10-30,217.083.333.333.333,273.229.166.666.667,814.375,NA,134.104.166.666.667,176.645.833.333.333,23.3,14,0,9,5334,168.728.908.886.389,NA,NA,NA,NA,NA
45,2011-10-31,208.541.666.666.667,278.354.166.666.667,872.708.333.333.333,NA,922.708.333.333.333,162.916.666.666.667,20.8,12.8,0,24,4330,554.272.517.321.016,NA,NA,NA,NA,NA
46,2011-11-01,185.208.333.333.333,253.583.333.333.333,905.208.333.333.333,NA,846.875,17.825,22.3,14.2,0,10,3986,250.878.073.256.397,NA,NA,NA,NA,NA
47,2011-11-02,306.458.333.333.333,224.020.833.333.333,871.875,NA,122.895.833.333.333,192.770.833.333.333,22.2,16.1,33.8,37,14057,263.214.057.053.425,NA,NA,NA,NA,NA
48,2011-11-03,270.416.666.666.667,2.376.875,893.541.666.666.667,NA,50.375,187.708.333.333.333,21.8,15.9,0.2,18,8478,212.314.225.053.079,NA,NA,NA,NA,NA
49,2011-11-04,273.958.333.333.333,2.120.625,917.708.333.333.333,NA,305.625,163.291.666.666.667,19.2,14.4,23.7,22,7264,302.863.436.123.348,NA,NA,NA,NA,NA
50,2011-11-05,196.458.333.333.333,2.486.875,862.083.333.333.333,NA,743.125,152.395.833.333.333,18.1,12.7,6.2,20,9302,215.007.525.263.384,NA,NA,NA,NA,NA
51,2011-11-06,270.833.333.333.333,259.833.333.333.333,886.875,NA,27.625,136.583.333.333.333,16.6,11.6,23.6,5,2971,168.293.503.870.751,NA,NA,NA,NA,NA
52,2011-11-07,250.416.666.666.667,2.954.375,751.666.666.666.667,NA,860.416.666.666.667,1.581.875,21,13.3,0.1,23,7101,323.898.042.529.221,NA,NA,NA,NA,NA
53,2011-11-08,260.625,276.875,777.291.666.666.667,NA,1.319.375,1.550.625,20.7,12.4,0,22,8595,255.962.769.051.774,NA,NA,NA,NA,NA
54,2011-11-09,262.083.333.333.333,2.766.875,80.625,NA,128.479.166.666.667,1.434.375,20.4,10.9,0,17,8322,204.277.817.832.252,NA,NA,NA,NA,NA
55,2011-11-10,310.416.666.666.667,278.354.166.666.667,81.875,NA,119.541.666.666.667,146.479.166.666.667,20,11,0,9,4223,213.118.636.040.729,NA,NA,NA,NA,NA
56,2011-11-11,239.166.666.666.667,271.833.333.333.333,871.875,NA,124.458.333.333.333,156.770.833.333.333,21.3,11.7,0,14,4228,33.112.582.781.457,NA,NA,NA,NA,NA
57,2011-11-12,1.75,219.520.833.333.333,875.208.333.333.333,NA,102.645.833.333.333,169.625,20.9,14.3,0,NA,NA,NA,NA,NA,NA,NA,NA
58,2011-11-13,236.041.666.666.667,190.5,87.125,NA,327.708.333.333.333,16.05,17.6,14.4,7.7,6,3693,16.246.953.696.182,NA,NA,NA,NA,NA
59,2011-11-14,2.325,181.5,880.625,NA,327.708.333.333.333,149.916.666.666.667,17.6,13.6,4.5,25,11784,212.152.070.604.209,NA,NA,NA,NA,NA
60,2011-11-15,332.916.666.666.667,131.333.333.333.333,90.625,NA,247.291.666.666.667,153.104.166.666.667,17.7,13.2,46.9,12,5662,211.939.244.083.363,NA,NA,NA,NA,NA
61,2011-11-16,240.208.333.333.333,178.583.333.333.333,843.125,NA,269.791.666.666.667,149.854.166.666.667,16.4,13.1,14,15,6869,218.372.397.728.927,NA,NA,NA,NA,NA
62,2011-11-17,169.791.666.666.667,194.083.333.333.333,78.75,NA,717.083.333.333.333,1.524.375,17.7,13.4,0.6,26,9439,275.452.908.147.049,NA,NA,NA,NA,NA
63,2011-11-18,210.833.333.333.333,254.416.666.666.667,868.958.333.333.333,NA,660.625,131.458.333.333.333,17.1,10.8,0,17,7585,22.412.656.558.998,NA,NA,NA,NA,NA
64,2011-11-19,266.041.666.666.667,238.375,864.583.333.333.333,NA,51.75,134.083.333.333.333,17.1,9.8,0.6,7,3924,178.389.398.572.885,NA,NA,NA,NA,NA
65,2011-11-20,286.875,1.549.375,850.416.666.666.667,NA,983.541.666.666.667,16.5,19.4,14.1,0.1,8,3734,214.247.455.811.462,NA,NA,NA,NA,NA
66,2011-11-21,306.458.333.333.333,145.229.166.666.667,821.041.666.666.667,NA,596.458.333.333.333,155.125,19.1,13.2,4.1,23,8034,286.283.295.992.034,NA,NA,NA,NA,NA
67,2011-11-22,403.333.333.333.333,422.291.666.666.667,724.791.666.666.667,NA,428.333.333.333.333,164.541.666.666.667,17.4,14.6,0.2,21,8630,243.337.195.828.505,NA,NA,NA,NA,NA
68,2011-11-23,256.875,285.395.833.333.333,724.166.666.666.667,NA,111.520.833.333.333,147.125,20.6,10.4,0,10,5051,197.980.597.901.406,NA,NA,NA,NA,NA
69,2011-11-24,2.8,261.458.333.333.333,801.875,NA,106.5,127.229.166.666.667,19.2,9.2,0,24,9958,241.012.251.456.116,NA,NA,NA,NA,NA
70,2011-11-25,260.625,285.958.333.333.333,80,NA,106.520.833.333.333,121.916.666.666.667,18.7,8.7,0,20,6873,290.993.743.634.512,NA,NA,NA,NA,NA
71,2011-11-26,406.041.666.666.667,324.958.333.333.333,727.916.666.666.667,NA,111.958.333.333.333,11.1375,16.3,8,0,4,1588,251.889.168.765.743,NA,NA,NA,NA,NA
72,2011-11-27,3.1375,278.166.666.666.667,821.875,NA,72.875,104.708.333.333.333,16.8,6.2,0,6,3548,169.109.357.384.442,NA,NA,NA,NA,NA
73,2011-11-28,277.291.666.666.667,282.166.666.666.667,810.416.666.666.667,NA,60.5,115.291.666.666.667,16.9,8.2,0,39,8904,43.800.539.083.558,NA,NA,NA,NA,NA
74,2011-11-29,323.125,300.604.166.666.667,745.833.333.333.333,NA,95.875,127.958.333.333.333,19.5,9.9,0,31,10550,293.838.862.559.242,NA,NA,NA,NA,NA
75,2011-11-30,291.875,291.333.333.333.333,776.458.333.333.333,NA,1.010.625,11.2,18.2,8.1,0,16,4080,392.156.862.745.098,NA,NA,NA,NA,NA
76,2011-12-01,298.333.333.333.333,286.395.833.333.333,820.416.666.666.667,NA,98.125,112.958.333.333.333,17.2,6.7,0,31,11191,277.008.310.249.307,NA,NA,NA,NA,NA
77,2011-12-02,306.458.333.333.333,317.583.333.333.333,750.416.666.666.667,NA,74.75,127.604.166.666.667,18.3,9.4,0,18,6258,287.631.831.255.992,NA,NA,NA,NA,NA
78,2011-12-03,340.416.666.666.667,325.25,692.291.666.666.667,NA,859.583.333.333.333,1.211.875,14.8,10.1,0.4,4,1975,20.253.164.556.962,NA,NA,NA,NA,NA
79,2011-12-04,213.333.333.333.333,306.875,717.291.666.666.667,NA,972.916.666.666.667,115.979.166.666.667,17.1,7.9,0,10,5886,169.894.665.307.509,NA,NA,NA,NA,NA
80,2011-12-05,243.333.333.333.333,269.145.833.333.333,742.708.333.333.333,NA,98,1.183.125,17.3,6.7,0,28,9008,310.834.813.499.112,NA,NA,NA,NA,NA
81,2011-12-06,240.833.333.333.333,301.166.666.666.667,749.791.666.666.667,NA,1.000.625,111.354.166.666.667,17.3,7.6,0,15,8245,181.928.441.479.685,NA,NA,NA,NA,NA
82,2011-12-07,306.458.333.333.333,305.895.833.333.333,715.833.333.333.333,NA,99.375,110.083.333.333.333,17.2,7.2,0,30,8648,346.901.017.576.318,NA,NA,NA,NA,NA
83,2011-12-08,307.291.666.666.667,294.354.166.666.667,772.083.333.333.333,NA,970.833.333.333.333,11.2,17.4,7.6,0,13,7536,172.505.307.855.626,NA,NA,NA,NA,NA
84,2011-12-09,3.175,313.229.166.666.667,806.041.666.666.667,NA,835.625,943.958.333.333.333,13.9,6,0,15,6048,248.015.873.015.873,NA,NA,NA,NA,NA
85,2011-12-10,3.275,319.708.333.333.333,76.875,NA,840.208.333.333.333,970.833.333.333.333,14.9,6.6,0,2,966,20.703.933.747.412,NA,NA,NA,NA,NA
86,2011-12-11,334.791.666.666.667,305.020.833.333.333,78,NA,842.708.333.333.333,8.6125,15.2,5.1,0,7,3909,179.073.931.951.906,NA,NA,NA,NA,NA
87,2011-12-12,312.708.333.333.333,3.168.125,736.041.666.666.667,NA,969.583.333.333.333,980.625,16.3,6.2,0,21,6695,313.666.915.608.663,NA,NA,NA,NA,NA
88,2011-12-13,2.6375,297.875,736.875,NA,834.375,989.375,17.5,5.1,0,31,12890,240.496.508.921.645,NA,NA,NA,NA,NA
89,2011-12-14,278.541.666.666.667,259.270.833.333.333,687.291.666.666.667,NA,778.125,133.625,19.5,9,0,22,7431,296.057.058.269.412,NA,NA,NA,NA,NA
90,2011-12-15,372.083.333.333.333,295.208.333.333.333,600.833.333.333.333,NA,83,115.145.833.333.333,16.2,7.9,0,17,6998,242.926.550.442.984,NA,NA,NA,NA,NA
91,2011-12-16,544.166.666.666.667,270.75,53.25,NA,483.958.333.333.333,140.166.666.666.667,17.9,11.2,0,16,8596,186.133.085.155.886,NA,NA,NA,NA,NA
92,2011-12-17,597.291.666.666.667,321.5,547.708.333.333.333,NA,989.791.666.666.667,103.291.666.666.667,13.8,7.7,0,1,228,43.859.649.122.807,NA,NA,NA,NA,NA
93,2011-12-18,359.166.666.666.667,317.208.333.333.333,562.083.333.333.333,NA,995.208.333.333.333,780.416.666.666.667,13.5,2.8,0,10,6403,15.617.679.212.869,NA,NA,NA,NA,NA
94,2011-12-19,252.916.666.666.667,3.005.625,624.166.666.666.667,NA,702.083.333.333.333,619.791.666.666.667,11.6,2,0,34,10948,31.055.900.621.118,NA,NA,NA,NA,NA
95,2011-12-20,310.416.666.666.667,3.184.375,709.583.333.333.333,NA,65.375,866.041.666.666.667,15.1,3.8,0,34,12210,278.460.278.460.278,NA,NA,NA,NA,NA
96,2011-12-21,2.5,299.395.833.333.333,796.875,NA,51.75,949.583.333.333.333,15.8,5.8,0,19,6345,299.448.384.554.768,NA,NA,NA,NA,NA
97,2011-12-22,3.875,314.020.833.333.333,671.875,NA,892.916.666.666.667,132.833.333.333.333,18.2,7.7,0,6,2491,240.867.121.637.896,NA,NA,NA,NA,NA
98,2011-12-23,436.458.333.333.333,321.75,699.791.666.666.667,NA,966.666.666.666.667,109.729.166.666.667,16.2,8.3,0,27,8785,307.342.060.330.108,NA,NA,NA,NA,NA
99,2011-12-24,3.775,322.104.166.666.667,710.208.333.333.333,NA,799.583.333.333.333,9.7,15.5,5.4,0,19,8401,2.261.635.519.581,NA,NA,NA,NA,NA
100,2011-12-25,3.6,319.020.833.333.333,645.416.666.666.667,NA,994.166.666.666.667,786.041.666.666.667,14.4,4.5,0,2,1108,180.505.415.162.455,NA,NA,NA,NA,NA
101,2011-12-26,315.625,2.829.375,707.291.666.666.667,NA,957.916.666.666.667,645.416.666.666.667,13.9,2.7,0,8,4126,193.892.389.723.703,NA,NA,NA,NA,NA
102,2011-12-27,392.916.666.666.667,245.208.333.333.333,647.708.333.333.333,NA,729.375,863.958.333.333.333,16.3,3.9,0,14,2994,467.601.870.407.482,NA,NA,NA,NA,NA
103,2011-12-28,319.375,304.166.666.666.667,671.875,NA,985.833.333.333.333,7.875,16,3.4,0,18,7101,253.485.424.588.086,NA,NA,NA,NA,NA
104,2011-12-29,311.041.666.666.667,310.541.666.666.667,625.208.333.333.333,NA,888.541.666.666.667,834.791.666.666.666,15,4.3,0,14,2543,5.505.308.690.523,NA,NA,NA,NA,NA
105,2011-12-30,3.9375,311.291.666.666.667,557.916.666.666.667,NA,979.166.666.666.667,985.625,15.6,1.5,0,17,5379,316.043.874.326.083,NA,NA,NA,NA,NA
106,2011-12-31,303.541.666.666.667,292.479.166.666.667,655.208.333.333.333,NA,993.333.333.333.333,116.708.333.333.333,16.8,8,0,2,1510,132.450.331.125.828,NA,NA,NA,NA,NA
107,2012-01-01,341.041.666.666.667,298.729.166.666.667,750.208.333.333.333,NA,973.541.666.666.667,1.170.625,17.1,8,0,6,2625,228.571.428.571.429,NA,NA,NA,NA,NA
108,2012-01-02,334.583.333.333.333,304.5,601.875,NA,928.541.666.666.667,122.708.333.333.333,17.8,6.8,0.1,41,12684,32.324.187.953.327,NA,NA,NA,NA,NA
109,2012-01-03,295.625,289.333.333.333.333,669.375,NA,94.25,924.791.666.666.667,15.1,5.2,0,20,7311,273.560.388.455.752,NA,NA,NA,NA,NA
110,2012-01-04,315.416.666.666.667,265.354.166.666.667,759.166.666.666.667,NA,888.541.666.666.667,892.708.333.333.333,16.6,4.7,0,22,10356,212.437.234.453.457,NA,NA,NA,NA,NA
111,2012-01-05,401.666.666.666.667,3.133.125,571.875,NA,202.916.666.666.667,1.169.375,16.3,7.5,0,13,6902,188.351.202.549.986,NA,NA,NA,NA,NA
112,2012-01-06,236.666.666.666.667,2.424.375,710.208.333.333.333,NA,840.416.666.666.667,117.541.666.666.667,16.3,5.5,0,5,3818,130.958.617.077.004,NA,NA,NA,NA,NA
113,2012-01-07,282.708.333.333.333,299.666.666.666.667,696.875,NA,102.895.833.333.333,811.875,14.7,3.6,0,5,4363,114.600.045.840.018,NA,NA,NA,NA,NA
114,2012-01-08,368.958.333.333.333,314.25,722.083.333.333.333,NA,102.104.166.666.667,846.666.666.666.667,13.8,5.1,0,9,5301,169.779.286.926.995,NA,NA,NA,NA,NA
115,2012-01-09,3.6625,306.604.166.666.667,731.875,NA,101.333.333.333.333,902.916.666.666.667,14.9,5.7,0,30,12267,244.558.571.777.941,NA,NA,NA,NA,NA
116,2012-01-10,356.458.333.333.333,290.020.833.333.333,793.541.666.666.667,NA,100.520.833.333.333,7.4125,14.4,3.5,0,11,6847,16.065.430.115.379,NA,NA,NA,NA,NA
117,2012-01-11,279.583.333.333.333,290.666.666.666.667,805.625,NA,861.666.666.666.667,733.125,14.7,3.8,0,21,8382,250.536.864.710.093,NA,NA,NA,NA,NA
118,2012-01-12,343.333.333.333.333,296.270.833.333.333,824.375,NA,931.041.666.666.667,736.875,14.6,3.8,0,15,6902,217.328.310.634.599,NA,NA,NA,NA,NA
119,2012-01-13,481.875,321.833.333.333.333,652.916.666.666.667,NA,1.081.875,664.791.666.666.666,13.4,3.2,0,11,4032,27.281.746.031.746,NA,NA,NA,NA,NA
120,2012-01-14,430.208.333.333.333,302.375,70.375,NA,865.833.333.333.333,606.041.666.666.667,13,2.1,0,11,5118,214.927.706.135.209,NA,NA,NA,NA,NA
121,2012-01-15,2.8125,273.416.666.666.667,75.75,NA,941.458.333.333.333,766.041.666.666.667,12.5,4.7,0,13,8709,149.270.869.215.754,NA,NA,NA,NA,NA
122,2012-01-16,371.458.333.333.333,157.729.166.666.667,759.166.666.666.667,NA,527.708.333.333.333,875.833.333.333.333,12,3.7,0.4,23,10218,225.092.973.184.576,NA,NA,NA,NA,NA
123,2012-01-17,296.875,1.624.375,747.083.333.333.333,NA,103.979.166.666.667,105.979.166.666.667,14.5,6.2,0.1,16,3969,403.124.212.648.022,NA,NA,NA,NA,NA
124,2012-01-18,301.875,2.958.125,770.208.333.333.333,NA,109.979.166.666.667,741.875,14,4.1,0,23,10065,228.514.654.744.163,NA,NA,NA,NA,NA
125,2012-01-19,348.541.666.666.667,295.729.166.666.667,729.375,NA,106.229.166.666.667,803.958.333.333.333,14.8,2.5,0,18,7846,229.416.263.063.982,NA,NA,NA,NA,NA
126,2012-01-20,3.275,301.916.666.666.667,718.541.666.666.667,NA,108.333.333.333.333,100.145.833.333.333,17.5,6.1,0,23,9746,235.994.254.052.945,NA,NA,NA,NA,NA
127,2012-01-21,296.875,2.955.625,68.125,NA,113.333.333.333.333,102.916.666.666.667,17.9,6,0,NA,NA,NA,NA,NA,NA,NA,NA
128,2012-01-22,305.625,292.541.666.666.667,75.125,NA,117.895.833.333.333,1.019.375,17.8,6.5,0,6,2663,225.309.800.976.342,NA,NA,NA,NA,NA
129,2012-01-23,401.875,317.083.333.333.333,686.666.666.666.667,NA,114.604.166.666.667,112.145.833.333.333,17.5,6.9,0,29,10999,263.660.332.757.523,NA,NA,NA,NA,NA
130,2012-01-24,311.458.333.333.333,301.229.166.666.667,750.833.333.333.333,NA,113.458.333.333.333,947.291.666.666.666,15.4,5.7,0,35,12694,275.720.812.982.511,NA,NA,NA,NA,NA
131,2012-01-25,336.041.666.666.667,288.75,761.666.666.666.667,NA,121.520.833.333.333,827.083.333.333.333,15.4,4.4,0,17,8006,212.340.744.441.669,NA,NA,NA,NA,NA
132,2012-01-26,290.625,269.333.333.333.333,772.291.666.666.667,NA,109.979.166.666.667,833.333.333.333.333,15.4,3.6,0,21,8274,253.807.106.598.985,NA,NA,NA,NA,NA
133,2012-01-27,268.541.666.666.667,252.041.666.666.667,772.291.666.666.667,NA,455.625,967.083.333.333.333,13.1,6.5,0,21,7184,292.316.258.351.893,NA,NA,NA,NA,NA
134,2012-01-28,2.0375,282.416.666.666.667,851.458.333.333.333,NA,174.166.666.666.667,862.083.333.333.333,10,6.2,2.3,15,7247,20.698.219.953.084,NA,NA,NA,NA,NA
135,2012-01-29,247.916.666.666.667,258.25,758.333.333.333.333,NA,840.416.666.666.667,578.125,11,2,0,7,4568,153.239.929.947.461,NA,NA,NA,NA,NA
136,2012-01-30,292.291.666.666.667,294.770.833.333.333,607.291.666.666.667,NA,131.5,558.125,11.9,0.8,0,25,7745,322.788.896.061.975,NA,NA,NA,NA,NA
137,2012-01-31,298.125,2.755.625,574.583.333.333.333,NA,671.875,664.583.333.333.333,12,1.7,0,36,13539,265.898.515.399.956,NA,NA,NA,NA,NA
138,2012-02-01,308.125,220.625,845.208.333.333.333,NA,12.3125,515.208.333.333.333,7.7,3.3,5.5,23,10038,229.129.308.627.217,NA,NA,NA,NA,NA
139,2012-02-02,294.166.666.666.667,277.104.166.666.667,804.583.333.333.333,NA,367.291.666.666.667,311.458.333.333.333,4.4,2,0.2,27,11449,235.828.456.633.767,NA,NA,NA,NA,NA
140,2012-02-03,425.208.333.333.333,299.416.666.666.667,534.166.666.666.667,NA,131.875,178.125,5.4,-0.8,0,21,6787,309.415.058.199.499,NA,NA,NA,NA,NA
141,2012-02-04,382.291.666.666.667,295.708.333.333.333,309.166.666.666.667,NA,147.5,222.083.333.333.333,7.6,-0.9,0,4,1737,23.028.209.556.707,NA,NA,NA,NA,NA
142,2012-02-05,263.125,300.5,533.333.333.333.333,NA,565.208.333.333.333,201.875,6.8,-4.3,0,9,5597,160.800.428.801.143,NA,NA,NA,NA,NA
143,2012-02-06,291.458.333.333.333,260.708.333.333.333,508.541.666.666.667,NA,1.468.125,499.375,13.9,-1.2,0,33,14840,222.371.967.654.987,NA,NA,NA,NA,NA
144,2012-02-07,272.916.666.666.667,246.854.166.666.667,287.916.666.666.667,NA,153.479.166.666.667,5.6875,13.2,-2.2,0,32,14062,227.563.646.707.438,NA,NA,NA,NA,NA
145,2012-02-08,336.041.666.666.667,321.875,288.333.333.333.333,NA,111.520.833.333.333,352.291.666.666.667,8.6,-2.5,0,26,13097,198.518.744.750.706,NA,NA,NA,NA,NA
146,2012-02-09,494.375,3.254.375,437.083.333.333.333,NA,148.604.166.666.667,524.791.666.666.667,11.6,0,0,33,11297,292.112.950.340.798,NA,NA,NA,NA,NA
147,2012-02-10,453.333.333.333.333,283.833.333.333.333,550.208.333.333.333,NA,149.270.833.333.333,625.833.333.333.333,11.9,2,0,19,9809,193.699.663.574.269,NA,NA,NA,NA,NA
148,2012-02-11,402.916.666.666.667,241.791.666.666.667,374.375,NA,167.729.166.666.667,516.458.333.333.333,10.6,0.3,0,2,792,252.525.252.525.253,NA,NA,NA,NA,NA
149,2012-02-12,309.583.333.333.333,2.400.625,535.625,NA,152.708.333.333.333,3.0625,7.4,-1.2,0.2,16,8969,178.392.239.937.563,NA,NA,NA,NA,NA
150,2012-02-13,351.458.333.333.333,269.166.666.666.667,498.541.666.666.667,NA,156.604.166.666.667,3.4125,10.2,-2.7,0,44,14439,304.730.244.476.764,NA,NA,NA,NA,NA
