date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,hcnm,hct,no,no2,nox,o3,pm10,pm2.5,so2
2011-10-23,212.708.333.333.333,299.979.166.666.667,86.625,NA,513.333.333.333.333,155.833.333.333.333,19.5,13.1,3.6,213,102403,208.001.718.699.647,NA,NA,NA,16.38,54.21,78.83,NA,20.71,NA,NA
2011-10-24,182.916.666.666.667,232.145.833.333.333,925.833.333.333.333,NA,645.208.333.333.333,166.145.833.333.333,20.8,14.2,46.4,216,90382,238.985.638.733.376,NA,NA,NA,3.46,28.12,32.88,NA,13.38,NA,NA
2011-10-25,307.083.333.333.333,3.071.875,637.708.333.333.333,NA,164.375,164.395.833.333.333,21.2,11.3,0.3,213,88799,239.867.566.076.195,NA,NA,NA,25.5,45.68,84.18,NA,20.62,NA,NA
2011-10-26,268.541.666.666.667,279.104.166.666.667,620.625,NA,149.791.666.666.667,145.979.166.666.667,20.8,9,0,174,78347,222.088.912.147.242,NA,NA,NA,47.83,67.96,140.75,NA,31.46,NA,NA
2011-10-27,198.958.333.333.333,285.875,856.875,NA,244.791.666.666.667,163.541.666.666.667,21.2,14.1,15.9,147,66870,219.829.519.964.109,NA,NA,NA,8.29,43.21,55.42,NA,12.83,NA,NA
2011-10-28,251.875,230.416.666.666.667,907.916.666.666.667,NA,490.833.333.333.333,17.075,19.6,15.1,33.3,47,31312,150.102.197.240.674,NA,NA,NA,2.21,22.67,25.54,NA,18.5,NA,NA
2011-10-29,2.8,186.854.166.666.667,83.625,NA,690.416.666.666.667,182.333.333.333.333,22,15.5,0,64,35917,178.188.601.497.898,NA,NA,NA,15.04,31.88,54.42,NA,20.46,NA,NA
2011-10-30,217.083.333.333.333,273.229.166.666.667,814.375,NA,134.104.166.666.667,176.645.833.333.333,23.3,14,0,203,84785,239.429.144.306.186,NA,NA,NA,26.92,46.75,87.58,NA,28.88,NA,NA
2011-10-31,208.541.666.666.667,278.354.166.666.667,872.708.333.333.333,NA,922.708.333.333.333,162.916.666.666.667,20.8,12.8,0,59,32494,18.157.198.251.985,NA,NA,NA,9.17,41.71,55.5,NA,21.79,NA,NA
2011-11-01,185.208.333.333.333,253.583.333.333.333,905.208.333.333.333,NA,846.875,17.825,22.3,14.2,0,227,101496,22.365.413.415.307,NA,NA,NA,3.5,33.25,38.33,NA,19.58,NA,NA
2011-11-02,306.458.333.333.333,224.020.833.333.333,871.875,NA,122.895.833.333.333,192.770.833.333.333,22.2,16.1,33.8,161,77629,207.396.720.297.827,NA,NA,NA,15.08,47.25,70.04,NA,26.79,NA,NA
2011-11-03,270.416.666.666.667,2.376.875,893.541.666.666.667,NA,50.375,187.708.333.333.333,21.8,15.9,0.2,165,76396,2.159.798.942.353,NA,NA,NA,9.21,43.88,57.42,NA,14.79,NA,NA
2011-11-04,273.958.333.333.333,2.120.625,917.708.333.333.333,NA,305.625,163.291.666.666.667,19.2,14.4,23.7,47,22971,204.605.807.322.276,NA,NA,NA,10.71,31.12,47.17,NA,14.25,NA,NA
2011-11-05,196.458.333.333.333,2.486.875,862.083.333.333.333,NA,743.125,152.395.833.333.333,18.1,12.7,6.2,25,19379,129.005.624.645.235,NA,NA,NA,7.96,25.04,36.75,NA,9,NA,NA
2011-11-06,270.833.333.333.333,259.833.333.333.333,886.875,NA,27.625,136.583.333.333.333,16.6,11.6,23.6,187,74609,25.064.000.321.677,NA,NA,NA,14.33,43.08,64.46,NA,23.24,NA,NA
2011-11-07,250.416.666.666.667,2.954.375,751.666.666.666.667,NA,860.416.666.666.667,1.581.875,21,13.3,0.1,179,81232,220.356.509.749.852,NA,NA,NA,13.25,32.29,52.42,NA,21.67,NA,NA
2011-11-08,260.625,276.875,777.291.666.666.667,NA,1.319.375,1.550.625,20.7,12.4,0,208,89665,231.974.572.018.067,NA,NA,NA,46.96,55.62,126.96,NA,32.17,NA,NA
2011-11-09,262.083.333.333.333,2.766.875,80.625,NA,128.479.166.666.667,1.434.375,20.4,10.9,0,178,75392,236.099.320.882.852,NA,NA,NA,42.42,60.12,124.75,NA,35.42,NA,NA
2011-11-10,310.416.666.666.667,278.354.166.666.667,81.875,NA,119.541.666.666.667,146.479.166.666.667,20,11,0,161,68163,236.198.524.125.992,NA,NA,NA,49.25,61.12,136.29,NA,40.88,NA,NA
2011-11-11,239.166.666.666.667,271.833.333.333.333,871.875,NA,124.458.333.333.333,156.770.833.333.333,21.3,11.7,0,77,37438,205.673.379.988.247,NA,NA,NA,24.71,51.96,89.29,NA,28.71,NA,NA
2011-11-12,1.75,219.520.833.333.333,875.208.333.333.333,NA,102.645.833.333.333,169.625,20.9,14.3,0,65,32228,201.687.973.191.014,NA,NA,NA,1.92,31.08,33.62,NA,19.42,NA,NA
2011-11-13,236.041.666.666.667,190.5,87.125,NA,327.708.333.333.333,16.05,17.6,14.4,7.7,243,108368,224.235.936.807.914,NA,NA,NA,4.54,45.5,51.92,NA,22.62,NA,NA
2011-11-14,2.325,181.5,880.625,NA,327.708.333.333.333,149.916.666.666.667,17.6,13.6,4.5,164,81344,201.612.903.225.806,NA,NA,NA,2.83,35.96,39.79,NA,21.67,NA,NA
2011-11-15,332.916.666.666.667,131.333.333.333.333,90.625,NA,247.291.666.666.667,153.104.166.666.667,17.7,13.2,46.9,156,74592,209.137.709.137.709,NA,NA,NA,5.29,40.92,48.5,NA,19.04,NA,NA
2011-11-16,240.208.333.333.333,178.583.333.333.333,843.125,NA,269.791.666.666.667,149.854.166.666.667,16.4,13.1,14,176,80561,218.467.993.197.701,NA,NA,NA,4.79,38.33,45.54,NA,18.42,NA,NA
2011-11-17,169.791.666.666.667,194.083.333.333.333,78.75,NA,717.083.333.333.333,1.524.375,17.7,13.4,0.6,189,89627,210.873.955.392.906,NA,NA,NA,41.17,62.54,125.33,NA,26.42,NA,NA
2011-11-18,210.833.333.333.333,254.416.666.666.667,868.958.333.333.333,NA,660.625,131.458.333.333.333,17.1,10.8,0,76,46204,164.487.923.123.539,NA,NA,NA,28.21,54.54,97.29,NA,25.42,NA,NA
2011-11-19,266.041.666.666.667,238.375,864.583.333.333.333,NA,51.75,134.083.333.333.333,17.1,9.8,0.6,71,35877,197.898.375.003.484,NA,NA,NA,2.29,27.46,30.5,NA,17.79,NA,NA
2011-11-20,286.875,1.549.375,850.416.666.666.667,NA,983.541.666.666.667,16.5,19.4,14.1,0.1,277,110342,251.037.682.840.623,NA,NA,NA,4.38,35.75,42.08,NA,16.38,NA,NA
2011-11-21,306.458.333.333.333,145.229.166.666.667,821.041.666.666.667,NA,596.458.333.333.333,155.125,19.1,13.2,4.1,214,83301,256.899.677.074.705,NA,NA,NA,2.71,24.54,28.5,NA,17.29,NA,NA
2011-11-22,403.333.333.333.333,422.291.666.666.667,724.791.666.666.667,NA,428.333.333.333.333,164.541.666.666.667,17.4,14.6,0.2,217,85382,254.151.928.978.005,NA,NA,NA,31.83,48.33,96.5,NA,27.04,NA,NA
2011-11-23,256.875,285.395.833.333.333,724.166.666.666.667,NA,111.520.833.333.333,147.125,20.6,10.4,0,218,90301,241.414.823.756.105,NA,NA,NA,71.62,57.04,166.04,NA,35.67,NA,NA
2011-11-24,2.8,261.458.333.333.333,801.875,NA,106.5,127.229.166.666.667,19.2,9.2,0,199,77627,256.354.103.597.975,NA,NA,NA,69.21,55.92,161.58,NA,39.12,NA,NA
2011-11-25,260.625,285.958.333.333.333,80,NA,106.520.833.333.333,121.916.666.666.667,18.7,8.7,0,78,45050,173.140.954.495.006,NA,NA,NA,39.46,42,101.96,NA,23.62,NA,NA
2011-11-26,406.041.666.666.667,324.958.333.333.333,727.916.666.666.667,NA,111.958.333.333.333,11.1375,16.3,8,0,51,23207,219.761.278.924.462,NA,NA,NA,26.54,44.67,85.04,NA,28.33,NA,NA
2011-11-27,3.1375,278.166.666.666.667,821.875,NA,72.875,104.708.333.333.333,16.8,6.2,0,384,135123,284.185.519.859.683,NA,NA,NA,36.17,53.29,108.5,NA,30.88,NA,NA
2011-11-28,277.291.666.666.667,282.166.666.666.667,810.416.666.666.667,NA,60.5,115.291.666.666.667,16.9,8.2,0,274,115720,236.778.430.694.781,NA,NA,NA,23.92,50.25,86.25,NA,29.79,NA,NA
2011-11-29,323.125,300.604.166.666.667,745.833.333.333.333,NA,95.875,127.958.333.333.333,19.5,9.9,0,253,107337,235.706.233.637.981,NA,NA,NA,32.38,49.17,98.25,NA,34.62,NA,NA
2011-11-30,291.875,291.333.333.333.333,776.458.333.333.333,NA,1.010.625,11.2,18.2,8.1,0,228,91249,249.865.751.953.446,NA,NA,NA,33.75,45.25,96.58,NA,40.09,NA,NA
2011-12-01,298.333.333.333.333,286.395.833.333.333,820.416.666.666.667,NA,98.125,112.958.333.333.333,17.2,6.7,0,206,78128,263.669.875.076.797,NA,NA,NA,28.17,44.67,87.5,NA,36.83,NA,NA
2011-12-02,306.458.333.333.333,317.583.333.333.333,750.416.666.666.667,NA,74.75,127.604.166.666.667,18.3,9.4,0,60,40668,147.536.146.355.857,NA,NA,NA,4.71,23.54,30.17,NA,19,NA,NA
2011-12-03,340.416.666.666.667,325.25,692.291.666.666.667,NA,859.583.333.333.333,1.211.875,14.8,10.1,0.4,65,32653,199.062.873.242.887,NA,NA,NA,5.42,23.08,30.96,NA,20.67,NA,NA
2011-12-04,213.333.333.333.333,306.875,717.291.666.666.667,NA,972.916.666.666.667,115.979.166.666.667,17.1,7.9,0,224,88569,252.910.160.439.883,NA,NA,NA,10.58,28.33,44.21,NA,16.88,NA,NA
2011-12-05,243.333.333.333.333,269.145.833.333.333,742.708.333.333.333,NA,98,1.183.125,17.3,6.7,0,50,25034,199.728.369.417.592,NA,NA,NA,8.33,26.54,38.79,NA,21.71,NA,NA
2011-12-06,240.833.333.333.333,301.166.666.666.667,749.791.666.666.667,NA,1.000.625,111.354.166.666.667,17.3,7.6,0,217,84894,255.612.881.946.898,NA,NA,NA,16.5,31.17,56.04,NA,22.46,NA,NA
2011-12-07,306.458.333.333.333,305.895.833.333.333,715.833.333.333.333,NA,99.375,110.083.333.333.333,17.2,7.2,0,76,46563,163.219.723.815.046,NA,NA,NA,12.5,30.71,49.54,NA,21.62,NA,NA
2011-12-08,307.291.666.666.667,294.354.166.666.667,772.083.333.333.333,NA,970.833.333.333.333,11.2,17.4,7.6,0,254,110183,23.052.558.017.117,NA,NA,NA,57.12,47.04,134.21,NA,37.08,NA,NA
2011-12-09,3.175,313.229.166.666.667,806.041.666.666.667,NA,835.625,943.958.333.333.333,13.9,6,0,62,33898,182.901.646.114.815,NA,NA,NA,13.29,30.08,50,NA,24.75,NA,NA
2011-12-10,3.275,319.708.333.333.333,76.875,NA,840.208.333.333.333,970.833.333.333.333,14.9,6.6,0,48,29723,161.491.101.167.446,NA,NA,NA,17.25,34.04,59.92,NA,29.33,NA,NA
2011-12-11,334.791.666.666.667,305.020.833.333.333,78,NA,842.708.333.333.333,8.6125,15.2,5.1,0,316,122652,257.639.500.375.045,NA,NA,NA,11.62,26.54,43.96,NA,17.58,NA,NA
2011-12-12,312.708.333.333.333,3.168.125,736.041.666.666.667,NA,969.583.333.333.333,980.625,16.3,6.2,0,245,104061,235.438.829.148.288,NA,NA,NA,44.04,46.79,113.71,NA,28.75,NA,NA
2011-12-13,2.6375,297.875,736.875,NA,834.375,989.375,17.5,5.1,0,210,96698,217.170.985.956.276,NA,NA,NA,29.79,43.62,88.83,NA,28.96,NA,NA
2011-12-14,278.541.666.666.667,259.270.833.333.333,687.291.666.666.667,NA,778.125,133.625,19.5,9,0,198,91044,217.477.263.740.609,NA,NA,NA,08.09,35.18,47.18,NA,20.26,NA,NA
2011-12-15,372.083.333.333.333,295.208.333.333.333,600.833.333.333.333,NA,83,115.145.833.333.333,16.2,7.9,0,185,85322,216.825.672.159.584,NA,NA,NA,07.04,27.88,38.42,NA,24.67,NA,NA
2011-12-16,544.166.666.666.667,270.75,53.25,NA,483.958.333.333.333,140.166.666.666.667,17.9,11.2,0,78,35342,220.700.582.875.898,NA,NA,NA,3,9.12,13.25,NA,19.46,NA,NA
2011-12-17,597.291.666.666.667,321.5,547.708.333.333.333,NA,989.791.666.666.667,103.291.666.666.667,13.8,7.7,0,25,14247,175.475.538.709.904,NA,NA,NA,4.5,18.92,25.46,NA,17.04,NA,NA
2011-12-18,359.166.666.666.667,317.208.333.333.333,562.083.333.333.333,NA,995.208.333.333.333,780.416.666.666.667,13.5,2.8,0,279,117686,237.071.529.323.794,NA,NA,NA,18.62,39.04,67.38,NA,20.5,NA,NA
2011-12-19,252.916.666.666.667,3.005.625,624.166.666.666.667,NA,702.083.333.333.333,619.791.666.666.667,11.6,2,0,231,99781,231.507.000.330.724,NA,NA,NA,20.54,38,69.12,NA,25.08,NA,NA
2011-12-20,310.416.666.666.667,3.184.375,709.583.333.333.333,NA,65.375,866.041.666.666.667,15.1,3.8,0,183,80122,228.401.687.426.674,NA,NA,NA,108.39,66.3,236.09,NA,42.05,NA,NA
2011-12-21,2.5,299.395.833.333.333,796.875,NA,51.75,949.583.333.333.333,15.8,5.8,0,174,78155,222.634.508.348.794,NA,NA,NA,27.92,30.58,72.79,NA,22.46,NA,NA
2011-12-22,3.875,314.020.833.333.333,671.875,NA,892.916.666.666.667,132.833.333.333.333,18.2,7.7,0,183,80256,22.802.033.492.823,NA,NA,NA,10.79,25.43,42.54,NA,18.79,NA,NA
2011-12-23,436.458.333.333.333,321.75,699.791.666.666.667,NA,966.666.666.666.667,109.729.166.666.667,16.2,8.3,0,84,53153,158.034.353.658.307,NA,NA,NA,9.54,28.33,42.54,NA,20.92,NA,NA
2011-12-24,3.775,322.104.166.666.667,710.208.333.333.333,NA,799.583.333.333.333,9.7,15.5,5.4,0,59,34791,169.584.087.838.809,NA,NA,NA,54.71,41.32,125.76,NA,30.83,NA,NA
2011-12-25,3.6,319.020.833.333.333,645.416.666.666.667,NA,994.166.666.666.667,786.041.666.666.667,14.4,4.5,0,49,30755,159.323.687.205.332,NA,NA,NA,59.83,60.71,152.08,NA,31.25,NA,NA
2011-12-26,315.625,2.829.375,707.291.666.666.667,NA,957.916.666.666.667,645.416.666.666.667,13.9,2.7,0,274,129020,212.370.175.166.641,NA,NA,NA,46.38,57.92,128.38,NA,28.62,NA,NA
2011-12-27,392.916.666.666.667,245.208.333.333.333,647.708.333.333.333,NA,729.375,863.958.333.333.333,16.3,3.9,0,199,88915,223.809.256.031.041,NA,NA,NA,25.78,50.96,90.04,NA,25.88,NA,NA
2011-12-28,319.375,304.166.666.666.667,671.875,NA,985.833.333.333.333,7.875,16,3.4,0,200,96744,206.731.166.790.705,NA,NA,NA,9.79,31.5,46.12,NA,27.71,NA,NA
2011-12-29,311.041.666.666.667,310.541.666.666.667,625.208.333.333.333,NA,888.541.666.666.667,834.791.666.666.666,15,4.3,0,184,86567,212.552.127.254.034,NA,NA,NA,5.12,17.71,25.04,NA,20.92,NA,NA
2011-12-30,3.9375,311.291.666.666.667,557.916.666.666.667,NA,979.166.666.666.667,985.625,15.6,1.5,0,62,43105,14.383.482.194.641,NA,NA,NA,5.46,17.83,26.17,NA,15.17,NA,NA
2011-12-31,303.541.666.666.667,292.479.166.666.667,655.208.333.333.333,NA,993.333.333.333.333,116.708.333.333.333,16.8,8,0,52,28930,179.744.210.162.461,NA,NA,NA,7.67,20.58,31.75,NA,14.67,NA,NA
2012-01-01,341.041.666.666.667,298.729.166.666.667,750.208.333.333.333,NA,973.541.666.666.667,1.170.625,17.1,8,0,226,109788,205.851.277.006.595,NA,NA,NA,9.75,20,34.62,NA,17.62,NA,NA
2012-01-02,334.583.333.333.333,304.5,601.875,NA,928.541.666.666.667,122.708.333.333.333,17.8,6.8,0.1,185,90287,204.902.145.380.841,NA,NA,NA,11.12,31.58,48.25,NA,26.95,NA,NA
2012-01-03,295.625,289.333.333.333.333,669.375,NA,94.25,924.791.666.666.667,15.1,5.2,0,202,96049,210.309.321.283.928,NA,NA,NA,29.86,34.09,79.55,NA,29.08,NA,NA
2012-01-04,315.416.666.666.667,265.354.166.666.667,759.166.666.666.667,NA,888.541.666.666.667,892.708.333.333.333,16.6,4.7,0,150,84137,1.782.806.613.024,NA,NA,NA,10.83,22.88,38.79,NA,29.96,NA,NA
2012-01-05,401.666.666.666.667,3.133.125,571.875,NA,202.916.666.666.667,1.169.375,16.3,7.5,0,22,19725,111.533.586.818.758,NA,NA,NA,6.62,23.92,33.62,NA,27.42,NA,NA
2012-01-06,236.666.666.666.667,2.424.375,710.208.333.333.333,NA,840.416.666.666.667,117.541.666.666.667,16.3,5.5,0,93,56147,165.636.632.411.349,NA,NA,NA,22.83,31.38,65.83,NA,35.54,NA,NA
2012-01-07,282.708.333.333.333,299.666.666.666.667,696.875,NA,102.895.833.333.333,811.875,14.7,3.6,0,33,26716,123.521.485.252.283,NA,NA,NA,8.29,22.5,34.79,NA,28.77,NA,NA
2012-01-08,368.958.333.333.333,314.25,722.083.333.333.333,NA,102.104.166.666.667,846.666.666.666.667,13.8,5.1,0,256,135767,188.558.338.918.883,NA,NA,NA,14.08,31.75,52.71,NA,20.45,NA,NA
2012-01-09,3.6625,306.604.166.666.667,731.875,NA,101.333.333.333.333,902.916.666.666.667,14.9,5.7,0,191,97417,196.064.341.952.637,NA,NA,NA,39.17,45.71,105.29,NA,28.96,NA,NA
2012-01-10,356.458.333.333.333,290.020.833.333.333,793.541.666.666.667,NA,100.520.833.333.333,7.4125,14.4,3.5,0,185,94085,19.663.070.627.624,NA,NA,NA,86.62,59.46,191.17,NA,37.83,NA,NA
2012-01-11,279.583.333.333.333,290.666.666.666.667,805.625,NA,861.666.666.666.667,733.125,14.7,3.8,0,171,93139,183.596.559.980.245,NA,NA,NA,24.62,48.71,86.29,NA,28.08,NA,NA
2012-01-12,343.333.333.333.333,296.270.833.333.333,824.375,NA,931.041.666.666.667,736.875,14.6,3.8,0,158,83478,189.271.424.806.536,NA,NA,NA,40.12,47.54,108.38,NA,29.08,NA,NA
2012-01-13,481.875,321.833.333.333.333,652.916.666.666.667,NA,1.081.875,664.791.666.666.666,13.4,3.2,0,70,39976,175.105.063.037.823,NA,NA,NA,40.17,46.79,107.83,NA,31.5,NA,NA
2012-01-14,430.208.333.333.333,302.375,70.375,NA,865.833.333.333.333,606.041.666.666.667,13,2.1,0,49,25582,191.540.927.214.448,NA,NA,NA,28.5,40,83.38,NA,30,NA,NA
2012-01-15,2.8125,273.416.666.666.667,75.75,NA,941.458.333.333.333,766.041.666.666.667,12.5,4.7,0,244,106370,229.387.985.334.211,NA,NA,NA,25.42,43.96,82.46,NA,21.21,NA,NA
2012-01-16,371.458.333.333.333,157.729.166.666.667,759.166.666.666.667,NA,527.708.333.333.333,875.833.333.333.333,12,3.7,0.4,213,107820,197.551.474.680.022,NA,NA,NA,8.25,34.62,46.75,NA,23.43,NA,NA
2012-01-17,296.875,1.624.375,747.083.333.333.333,NA,103.979.166.666.667,105.979.166.666.667,14.5,6.2,0.1,197,95682,205.890.345.101.482,NA,NA,NA,29.54,42.58,87.42,NA,35.71,NA,NA
2012-01-18,301.875,2.958.125,770.208.333.333.333,NA,109.979.166.666.667,741.875,14,4.1,0,210,92945,225.940.072.085.642,NA,NA,NA,12.59,38.91,57.95,NA,27.08,NA,NA
2012-01-19,348.541.666.666.667,295.729.166.666.667,729.375,NA,106.229.166.666.667,803.958.333.333.333,14.8,2.5,0,217,89247,243.145.427.857.519,NA,NA,NA,37.04,41.88,98.21,NA,35.58,NA,NA
2012-01-20,3.275,301.916.666.666.667,718.541.666.666.667,NA,108.333.333.333.333,100.145.833.333.333,17.5,6.1,0,103,57518,179.074.376.716.854,NA,NA,NA,19.04,32.12,60.83,NA,24.33,NA,NA
