date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10,so2
2011-10-07,237.872.340.425.532,223.574.468.085.106,694.583.333.333.333,987.747.916.666.667,102.25,185.041.666.666.667,22.8,15.1,0,26,9026,288.056.725.016.619,14.71,33.75,58.33,37.42,45.33,01.04
2011-10-08,1.675,285.041.666.666.667,501.458.333.333.333,990.154.166.666.667,203.583.333.333.333,170.895.833.333.333,23.6,12.4,0,5,2074,241.080.038.572.806,3.79,25.67,31.5,42.54,31.21,01.09
2011-10-09,176.458.333.333.333,251.979.166.666.667,553.958.333.333.333,992.364.583.333.334,210.729.166.666.667,1.800.625,25.1,12.8,0,2,944,211.864.406.779.661,3.33,18.96,28.17,46.12,23.88,01.09
2011-10-10,201.875,259.479.166.666.667,453.333.333.333.333,994.114.583.333.333,207,227.333.333.333.333,30.6,17.5,0,43,15368,27.980.218.636.127,22.79,41.29,76.71,28.38,42.21,1.96
2011-10-11,153.541.666.666.667,230.729.166.666.667,422.083.333.333.333,992.522.916.666.666,202.5,237.583.333.333.333,32.1,16.9,0,28,9457,296.076.980.014.804,37.71,56.58,115,23.88,67.46,3.74
2011-10-12,145.416.666.666.667,2.449.375,403.541.666.666.667,990.502.083.333.333,201.541.666.666.667,242.916.666.666.667,33.2,16.9,0,17,11370,149.516.270.888.303,6.58,46.67,66.17,40.71,55.88,3.43
2011-10-13,1.8,191.645.833.333.333,643.541.666.666.667,98.951.875,1.910.625,214.375,28.5,17,0,40,17988,22.237.046.920.169,29.83,46.83,93.17,38.04,52.88,4.17
2011-10-14,151.875,2.076.875,709.375,990.683.333.333.333,163.833.333.333.333,189.229.166.666.667,25.8,15,0,21,8900,235.955.056.179.775,20.17,38.38,69.38,32.5,35.54,1.13
2011-10-15,146.041.666.666.667,149.041.666.666.667,660.833.333.333.333,993.633.333.333.333,1.213.125,1.751.875,21,15.3,0,2,1108,180.505.415.162.455,3.54,26.54,36.67,51.88,39.38,1
2011-10-16,152.291.666.666.667,238.104.166.666.667,687.916.666.666.667,99.379.375,114.270.833.333.333,17.75,22.6,14,0,NA,NA,NA,1.96,20.92,23.75,54.92,34.67,1
2011-10-17,145.625,223.520.833.333.333,769.583.333.333.333,992.972.916.666.667,112.291.666.666.667,17.725,23.9,13.6,0.1,37,14272,259.248.878.923.767,24.29,38.46,75.46,37.46,42.96,1
2011-10-18,215.208.333.333.333,2.401.875,67,99.079.375,168.604.166.666.667,186.104.166.666.667,24.9,15,0,35,11525,303.687.635.574.837,31.26,45.13,95.7,31.45,41.5,1.6
2011-10-19,190.208.333.333.333,2.321.875,736.458.333.333.333,988.641.666.666.667,141.979.166.666.667,184.958.333.333.333,23.8,14.1,0,16,6015,266.001.662.510.391,27.21,47.96,91.96,41.29,44.25,2.83
2011-10-20,161.875,2.435.625,603.333.333.333.333,991.414.583.333.333,132.770.833.333.333,148.291.666.666.667,20.8,11.4,0,20,7851,254.744.618.519.934,18.5,38.54,66.67,38.04,30.67,1.17
2011-10-21,126.875,179.395.833.333.333,634.375,991.141.666.666.667,703.541.666.666.667,128.958.333.333.333,17.7,8.6,0,27,9911,272.424.578.750.883,23.58,52.71,89.5,22.62,46.21,2.87
2011-10-22,118.541.666.666.667,176.708.333.333.333,781.875,98.869.375,918.125,149.625,20.7,12.7,0,5,1458,342.935.528.120.713,4.54,31.04,40.21,45.58,24.46,2.57
2011-10-23,1.1375,2.486.875,947.916.666.666.667,984.704.166.666.666,600.208.333.333.333,141.416.666.666.667,18.2,12.3,7.4,NA,NA,NA,9.58,35.67,50.75,19.75,32.38,2.87
2011-10-24,127.083.333.333.333,206.833.333.333.333,95,974.177.083.333.333,70.625,151.125,18.4,13.2,40.2,47,15096,311.340.752.517.223,39.42,61.21,124.42,14.46,30.88,1.3
2011-10-25,305.625,316.875,602.291.666.666.667,975.783.333.333.333,173.229.166.666.667,151.604.166.666.667,18.2,12,0,21,6941,302.550.064.832.157,14.75,32.25,55.79,36.04,20.54,1.65
2011-10-26,170.625,240.770.833.333.333,54.75,9.837.875,158.75,14.75,21,9.5,0,25,13073,191.233.840.740.457,32.08,51.58,101.38,24.42,34.33,2.74
2011-10-27,103.333.333.333.333,209.979.166.666.667,906.875,980.483.333.333.333,190.625,150.354.166.666.667,17.6,13.5,22.1,21,9262,226.732.887.065.429,65.33,72.54,176.46,7,50.75,2.52
2011-10-28,577.083.333.333.333,166.770.833.333.333,978.125,98.780.625,310.833.333.333.333,1.498.125,16.2,13.6,23.1,21,8205,255.941.499.085.923,29.29,56.75,102.38,07.08,22.92,2.78
2011-10-29,7.875,114.645.833.333.333,90.5,992.045.833.333.333,347.916.666.666.667,1.644.375,20.2,14,0,6,1687,3.556.609.365.738,11.58,37.29,57.79,19.54,29,1.26
2011-10-30,128.333.333.333.333,246.395.833.333.333,847.291.666.666.667,991.483.333.333.333,1.315.625,163.791.666.666.667,21.2,13.4,0,6,3143,190.900.413.617.563,5.92,22.5,32.29,23.04,23.29,1
2011-10-31,877.083.333.333.333,232.666.666.666.667,90,9.882.875,742.708.333.333.333,156.208.333.333.333,19.7,12.1,0.1,22,6578,334.448.160.535.117,31.21,34.04,82.33,16.12,41.38,1.91
2011-11-01,125.833.333.333.333,209.083.333.333.333,852.083.333.333.333,98.683.125,103.145.833.333.333,179.645.833.333.333,22,15.5,0,4,2348,170.357.751.277.683,9.17,23.5,37.83,26.12,30.04,1.52
2011-11-02,219.166.666.666.667,1.724.375,878.541.666.666.667,983.629.166.666.667,891.875,178.291.666.666.667,20.4,16.2,16.6,28,10537,265.730.283.761.982,16.96,26.5,56.12,35.5,31.67,01.04
2011-11-03,241.666.666.666.667,202.291.666.666.667,89.375,974.804.166.666.667,350.208.333.333.333,1.733.125,19.4,14.8,1.2,17,3345,508.221.225.710.015,26.17,37.25,77.58,23.96,38.29,1
2011-11-04,176.875,191.708.333.333.333,958.958.333.333.333,969.545.833.333.333,29.5,144.208.333.333.333,16.8,13.6,42.7,35,14061,248.915.439.869.142,27.79,51.67,94.83,18.46,26.71,1
2011-11-05,1.325,260.625,873.541.666.666.667,969.616.666.666.667,749.791.666.666.667,137.104.166.666.667,16.4,11.3,5.6,6,2343,256.081.946.222.791,9.54,27.12,46.79,26.12,21.08,1
2011-11-06,241.875,284.229.166.666.667,859.583.333.333.333,974.910.416.666.667,250.416.666.666.667,125.729.166.666.667,15,10.4,19.9,4,2062,193.986.420.950.533,6.75,26.12,36.21,29.71,16.67,01.04
2011-11-07,205.208.333.333.333,320.416.666.666.667,725.416.666.666.667,981.820.833.333.333,108.479.166.666.667,149.145.833.333.333,18.3,12,0,36,13714,262.505.468.863.935,33.12,37.92,88.83,18.17,26.46,1
2011-11-08,139.375,2.533.125,809.791.666.666.667,983.997.916.666.667,1.350.625,138.729.166.666.667,19.6,10.7,0,25,7511,332.845.160.431.367,22.46,38,76,13.71,24.96,1.61
2011-11-09,122.708.333.333.333,242.729.166.666.667,801.458.333.333.333,987.864.583.333.333,131.625,139.541.666.666.667,20.2,10.1,0,28,13601,205.867.215.645.908,39.5,40.92,101.79,14.21,35.25,1.96
2011-11-10,116.875,265.333.333.333.333,824.791.666.666.667,987.579.166.666.667,121.270.833.333.333,144.645.833.333.333,20.3,10.4,0,36,13711,262.562.905.696.156,40.92,49.5,112.71,17.33,42.33,2.48
2011-11-11,151.041.666.666.667,268.854.166.666.667,828.958.333.333.333,9.881.625,1.281.875,16.425,22.8,13.6,0,20,6452,309.981.401.115.933,48.42,54.5,128.33,14.38,50.58,2.17
2011-11-12,106.458.333.333.333,185.895.833.333.333,885.416.666.666.667,995.108.333.333.334,109.541.666.666.667,16.05,20.3,13.3,0,2,806,248.138.957.816.377,10.71,33.17,51.62,25.5,35,1.26
2011-11-13,46.875,121.333.333.333.333,945.208.333.333.333,9.962.125,322.708.333.333.333,145.770.833.333.333,16.9,12.9,10.9,2,1143,174.978.127.734.033,4.12,31.79,38.33,24.08,30.46,1
2011-11-14,766.666.666.666.667,158.875,958.333.333.333.333,990.452.083.333.333,295.625,129.354.166.666.667,15.1,11.4,6.1,44,19198,229.190.540.681.321,11.33,48.46,65.71,22.58,29.38,1.7
2011-11-15,0.85,1.651.875,990.833.333.333.333,983.033.333.333.333,12.4375,12.7625,13.9,11.8,52.8,28,10453,26.786.568.449.249,12.75,47.29,66.75,25.92,23.04,1.87
2011-11-16,685.416.666.666.666,152.375,926.875,9.872.125,27.125,128.583.333.333.333,14.9,11.6,18.4,28,10717,261.267.145.656.434,25.17,54.62,93.04,20.5,26.79,01.09
2011-11-17,879.166.666.666.667,206.104.166.666.667,853.958.333.333.333,993.197.916.666.667,703.125,132.270.833.333.333,16.9,11.4,0,22,11120,197.841.726.618.705,28.75,51.25,94.71,19.04,35.88,2.3
2011-11-18,964.583.333.333.333,233.645.833.333.333,89.75,990.720.833.333.333,835.416.666.666.667,117.791.666.666.667,16,9,0,28,10500,266.666.666.666.667,40.54,44.67,107.25,10.58,43.95,1.26
2011-11-19,714.583.333.333.333,192.104.166.666.667,905.625,98.539.375,55.625,11.9625,14.9,7.9,0.5,2,834,239.808.153.477.218,27.54,41.79,84.58,9.5,47,1.96
2011-11-20,101.875,1.505.625,90.75,985.65,370.625,143.166.666.666.667,16.9,12.9,0,3,1764,170.068.027.210.884,4.33,27.17,36.96,37.08,24.79,2.22
2011-11-21,80.625,60.75,88.375,9.815.625,394.791.666.666.667,137.354.166.666.667,16.9,12.4,5.3,51,17796,28.658.125.421.443,15.96,39.83,64.83,27.71,29.29,2.74
2011-11-22,1.2125,358.958.333.333.333,854.583.333.333.333,981.9,208.541.666.666.667,137.895.833.333.333,14.6,12.5,0.7,25,11834,211.255.703.904.005,9.5,37.54,51.96,36.67,25,2.87
2011-11-23,143.191.489.361.702,235.489.361.702.128,699.166.666.666.667,990.610.416.666.667,119.854.166.666.667,142.416.666.666.667,20.2,10.3,0,30,10529,284.927.343.527.401,39.08,48.29,109.5,11.62,39.79,1.13
2011-11-24,109.166.666.666.667,241.25,83,996.658.333.333.333,111.333.333.333.333,11.975,18,8.5,0,25,8426,296.700.688.345.597,47.46,45.62,119.21,9.5,43.62,02.09
2011-11-25,106.666.666.666.667,228.729.166.666.667,813.125,998.358.333.333.333,114.770.833.333.333,118.770.833.333.333,18.2,7.7,0.2,32,11310,282.935.455.349.248,63.64,48,146,6.64,49.96,3.71
2011-11-26,170.416.666.666.667,287.083.333.333.333,753.958.333.333.333,998.529.166.666.667,119.770.833.333.333,100.729.166.666.667,15.1,7.3,0,4,2014,198.609.731.876.862,22.75,36.25,71.17,9.71,31.75,3.26
2011-11-27,872.916.666.666.667,233.041.666.666.667,859.791.666.666.667,996.760.416.666.667,801.666.666.666.667,993.541.666.666.667,15.6,6.1,0,2,218,91.743.119.266.055,20.67,30.42,63.08,11.08,40.38,2.87
2011-11-28,0.9,2.133.125,854.375,994.008.333.333.333,629.375,105.708.333.333.333,14.9,7.1,0.1,49,17974,272.616.000.890.175,71.58,51.38,161.58,4.12,51.29,2.7
2011-11-29,1.0875,2.369.375,780.833.333.333.333,993.429.166.666.667,780.416.666.666.667,1.268.125,18.1,9.7,0,43,15357,280.002.604.675.392,69.83,63.25,169.25,5.25,48.71,2.61
2011-11-30,137.083.333.333.333,236.770.833.333.333,722.708.333.333.333,996.729.166.666.667,987.083.333.333.333,1.183.125,17.1,7.5,0,35,9972,350.982.751.704.773,50.79,51.71,130.12,7.75,40.46,02.09
2011-12-01,212.083.333.333.333,258.208.333.333.333,81.625,994.485.416.666.667,107.708.333.333.333,125.270.833.333.333,16.6,10.4,0,35,11027,317.402.738.732.203,67.96,57.08,161.5,10.62,47.95,3.65
2011-12-02,148.541.666.666.667,260.791.666.666.667,763.541.666.666.667,98.718.125,88.25,125.520.833.333.333,16.5,9.8,0,19,7598,250.065.806.791.261,46.62,64.21,134.46,7.17,41.29,3.13
2011-12-03,162.916.666.666.667,296.395.833.333.333,695.208.333.333.333,992.075,945.416.666.666.667,109.604.166.666.667,13.9,8.9,0,8,4120,194.174.757.281.553,11.21,31.96,49.71,16.58,21.75,1.17
2011-12-04,1.6875,312.375,665.416.666.666.667,989.720.833.333.333,106.875,1.101.875,14.7,9,0,3,1305,229.885.057.471.264,10.92,26.38,43.42,24.21,21.88,1.61
2011-12-05,165.208.333.333.333,281.25,721.666.666.666.667,986.847.916.666.667,102.25,111.854.166.666.667,15.3,6.3,0,50,11851,421.905.324.445.195,22.25,40.5,77.21,14.58,26.38,2.48
2011-12-06,1.7375,281.645.833.333.333,680.625,990.841.666.666.667,102.770.833.333.333,109.354.166.666.667,15.1,7.4,0,10,4200,238.095.238.095.238,19.71,38.75,69.75,21.08,31.46,2.74
2011-12-07,1.4625,277.083.333.333.333,722.291.666.666.667,996.058.333.333.333,1.086.875,1.006.875,15.5,6.4,0,49,14571,336.284.400.521.584,37.33,43.04,100.92,15.04,34.38,2.91
2011-12-08,136.875,238.479.166.666.667,772.083.333.333.333,996.941.666.666.667,987.916.666.666.667,10.825,16.7,7.9,0,9,4598,19.573.727.707.699,27,36.88,84.58,9.92,33.29,3.78
2011-12-09,90.625,224.25,85.375,992.139.583.333.333,82.125,9.4375,14.3,5.4,0,38,13726,276.846.859.973.772,69.54,47.29,155.12,4.67,44.79,2.39
2011-12-10,111.041.666.666.667,277.354.166.666.667,787.916.666.666.667,98.770.625,935.208.333.333.333,925.625,15.4,5.5,0,3,1562,192.061.459.667.093,34.29,35.21,88.46,7.25,32.62,1.22
2011-12-11,127.916.666.666.667,240.083.333.333.333,801.666.666.666.667,986.529.166.666.667,833.125,840.833.333.333.333,14.7,5.1,0,2,1162,172.117.039.586.919,21.5,32.17,67.08,8.67,31.71,2.43
2011-12-12,180.625,287.354.166.666.667,756.875,989.5,100.229.166.666.667,8.7625,14.9,5.9,0,38,12099,314.075.543.433.342,39.08,38.88,99.21,8.33,27.12,2.91
2011-12-13,249.166.666.666.667,290.25,62.875,987.964.583.333.333,868.333.333.333.333,1.129.375,15.1,8.2,0,33,15150,217.821.782.178.218,56.79,45.54,132.92,15.83,44.25,3.87
2011-12-14,234.166.666.666.667,3.058.125,593.541.666.666.667,987.6,873.958.333.333.333,133.604.166.666.667,17.3,10.3,0,42,17920,234.375,37.17,49.88,108.04,16.83,33.33,2.22
2011-12-15,344.375,2.971.875,551.458.333.333.333,992.729.166.666.667,889.166.666.666.667,112.145.833.333.333,14,9.5,0,42,17371,241.782.280.812.849,24.71,37.92,76.79,28.12,30,3.61
2011-12-16,443.541.666.666.667,300.875,540.625,9.819.625,559.583.333.333.333,124.520.833.333.333,15.5,9,0,24,10561,227.251.207.272.039,6.27,21.64,34.55,42.14,22.04,1.19
2011-12-17,448.541.666.666.667,309.770.833.333.333,60.25,98.464.375,107.625,801.875,10.8,6,0,8,3247,246.381.275.023.098,3.46,10.25,17.5,59.33,13.5,1.17
2011-12-18,318.958.333.333.333,317.770.833.333.333,511.458.333.333.333,987.270.833.333.333,109.125,686.458.333.333.334,11,4.3,0,1,452,221.238.938.053.097,13.21,28.58,48.88,35.67,16.75,1.96
2011-12-19,179.583.333.333.333,286.958.333.333.333,573.541.666.666.667,991.935.416.666.667,942.916.666.666.667,635.416.666.666.667,10.7,2.2,0,37,12948,285.758.418.288.539,49.42,61.17,137.21,11.75,31.96,1.52
2011-12-20,210.625,270.458.333.333.333,74.125,9.898.875,776.666.666.666.667,814.791.666.666.667,12.5,3.5,0,34,15396,220.836.580.930.112,55.25,58.96,143.21,9.29,35.42,1.7
2011-12-21,141.041.666.666.667,231.166.666.666.667,771.875,99.078.125,52.125,104.458.333.333.333,14.6,6.4,0,25,10351,241.522.558.206.937,110.83,66.04,236.17,03.08,55.62,3.91
2011-12-22,350.416.666.666.667,321.833.333.333.333,671.666.666.666.667,993.933.333.333.333,934.375,123.958.333.333.333,15.6,9.2,0,14,7885,177.552.314.521.243,36.5,44.46,100.5,18.25,23.96,1.39
2011-12-23,1.9625,294.729.166.666.667,664.583.333.333.333,99.428.125,106.625,106.583.333.333.333,17.8,7.5,0,33,12026,27.440.545.484.783,30.42,46.11,95.46,9.46,24.29,3.48
2011-12-24,137.083.333.333.333,278.104.166.666.667,728.958.333.333.333,998.083.333.333.334,769.375,868.541.666.666.667,14,4.6,0,14,7115,196.767.392.832.045,19.21,35.83,66.54,9.89,24.5,01.09
2011-12-25,132.291.666.666.667,2.546.875,617.291.666.666.667,100.180.625,107.666.666.666.667,721.875,14.1,3.4,0,5,2484,201.288.244.766.506,16,32.92,57.75,17.12,24.42,1.61
2011-12-26,1.0875,232.833.333.333.333,693.333.333.333.333,100.436.666.666.667,103.916.666.666.667,654.583.333.333.333,14.2,2.3,0,12,5826,205.973.223.480.947,26.92,39.54,82.71,12.38,27.75,3.26
2011-12-27,109.583.333.333.333,205.083.333.333.333,631.041.666.666.667,100.300.208.333.333,749.583.333.333.333,831.875,14.8,3.8,0,47,17969,261.561.578.273.694,77.67,64.71,184.14,4,40.7,1.7
2011-12-28,120.625,242.041.666.666.667,613.125,100.008.958.333.333,1.075.625,858.541.666.666.667,15.1,4.4,0,43,14872,289.133.942.980.097,52.67,58,139.21,7.12,33.08,2.74
2011-12-29,1.4875,277.125,600.625,997.358.333.333.333,101.208.333.333.333,7.7375,12.5,3.6,0,41,17381,235.889.764.685.576,48.83,55.5,132.62,11.96,32.62,3.52
2011-12-30,356.875,295.041.666.666.667,533.541.666.666.667,99.529.375,107.25,8.975,12.7,5.7,0,30,13630,220.102.714.600.147,16.83,38.21,65.29,27.54,20.88,1.17
2011-12-31,179.791.666.666.667,253.583.333.333.333,650.208.333.333.333,993.733.333.333.333,107.395.833.333.333,114.583.333.333.333,16.9,7,0,3,852,352.112.676.056.338,11.04,36,53.17,24.04,20.25,2
2012-01-01,195.416.666.666.667,263.229.166.666.667,717.083.333.333.333,993.202.083.333.333,104.854.166.666.667,123.458.333.333.333,17.8,9.6,0,13,6988,186.033.199.771.036,17.29,35.71,64.92,15.54,19.38,1.87
2012-01-02,408.958.333.333.333,317.625,545.416.666.666.667,991.022.916.666.667,107.666.666.666.667,12.325,14.9,8.8,0,33,11567,285.294.371.920.118,12.75,30.38,50.29,27.25,21.5,2.61
2012-01-03,151.875,245.020.833.333.333,643.958.333.333.333,998.633.333.333.334,104.458.333.333.333,881.666.666.666.667,15,5.5,0,38,12094,314.205.391.103.026,39.92,51.58,113.33,13.33,34.37,2.48
2012-01-04,148.125,228.604.166.666.667,741.041.666.666.667,997.55,988.125,8.925,15.5,4.1,0,19,6049,314.101.504.380.889,41.46,48.62,113.67,7.83,35.29,3.96
2012-01-05,348.958.333.333.333,302.729.166.666.667,53.5,990.827.083.333.334,308.125,111.708.333.333.333,15.8,6.6,0,22,11111,1.980.019.800.198,32.96,42.62,94.04,22.08,38.08,1.57
2012-01-06,297.083.333.333.333,239.791.666.666.667,697.291.666.666.667,9.908.625,862.916.666.666.667,118.104.166.666.667,14.9,6.1,0,2,736,271.739.130.434.783,15.12,26.33,48.88,36.88,30.96,1.35
2012-01-07,141.041.666.666.667,285.354.166.666.667,647.083.333.333.333,996.839.583.333.333,112.666.666.666.667,809.166.666.666.667,13.9,3.3,0,5,3354,149.075.730.471.079,28.21,45.42,90.25,12.04,39.29,3.87
2012-01-08,1.0625,216.145.833.333.333,757.083.333.333.333,995.302.083.333.334,110.229.166.666.667,7.7875,12.1,4.6,0,3,1719,174.520.069.808.028,15.33,33.17,57.25,13.96,25.83,2.83
2012-01-09,134.166.666.666.667,2.434.375,743.333.333.333.333,99.723.125,110,859.791.666.666.667,15,4.4,0,54,21794,247.774.616.867.028,42.58,46.04,111.83,6.96,29.54,2
2012-01-10,115.833.333.333.333,243.708.333.333.333,819.375,999.652.083.333.333,109.604.166.666.667,799.791.666.666.666,14.5,3.4,0,34,16153,210.487.215.997.028,87.14,60.24,196.24,6.52,43.62,2.35
2012-01-11,814.583.333.333.334,240,852.083.333.333.333,100.129.166.666.667,714.166.666.666.667,728.333.333.333.333,12.9,3.6,0,32,12855,248.930.377.285.103,82.75,57.96,185.12,6.75,51.46,2.52
2012-01-12,141.875,2.534.375,845.208.333.333.333,99.970.625,112.479.166.666.667,786.458.333.333.333,13.9,2.9,0.3,34,13282,255.985.544.345.731,88,62.92,198.17,4.71,47.92,2
2012-01-13,166.041.666.666.667,293.041.666.666.667,627.083.333.333.333,994.272.916.666.667,119.166.666.666.667,659.583.333.333.333,13.6,2.9,0,21,10197,205.942.924.389.526,46.21,55.46,127.5,5.88,31.71,1.7
2012-01-14,118.125,232.041.666.666.667,742.916.666.666.667,989.277.083.333.333,77.5,521.041.666.666.667,11.9,1.2,0,15,5755,260.642.919.200.695,30.88,43.54,92.12,7.25,32.29,1.87
2012-01-15,825,218.645.833.333.333,852.083.333.333.333,986.833.333.333.334,690.625,652.916.666.666.667,11.6,3.7,0.2,NA,NA,NA,13.62,35.42,56.92,13.62,31.12,1.48
2012-01-16,80.625,118.916.666.666.667,854.791.666.666.667,98.566.875,320.625,668.541.666.666.667,9.5,3.1,0.3,36,16510,218.049.666.868.565,35.67,53.58,109.54,14.67,34.92,2.48
2012-01-17,135.625,148.833.333.333.333,789.375,996.383.333.333.333,842.291.666.666.667,902.708.333.333.333,13.4,6.6,0,53,21211,249.870.350.289.944,46.46,63.83,135.75,14.62,42.04,2.13
2012-01-18,136.458.333.333.333,235.916.666.666.667,786.875,10.018.625,113.770.833.333.333,696.875,13.1,2.3,0,29,12234,237.044.302.762.792,68.38,53.96,159,9.12,46.08,2.22
2012-01-19,144.166.666.666.667,259.791.666.666.667,691.666.666.666.667,100.344.791.666.667,114.895.833.333.333,838.125,15.2,3.2,0,25,12071,207.107.944.660.757,61.12,58.42,153.5,7.71,41.04,2.87
2012-01-20,131.458.333.333.333,251.770.833.333.333,699.375,997.916.666.666.667,119.854.166.666.667,1.039.375,17.9,5.4,0,29,15749,184.138.675.471.459,54.5,58.17,147,7.38,40.08,2.65
2012-01-21,181.875,301.895.833.333.333,590.833.333.333.333,9.948.875,123.604.166.666.667,109.645.833.333.333,15.9,7.8,0,8,4856,164.744.645.799.012,22.67,47.33,82,13.62,30.79,2.26
2012-01-22,149.791.666.666.667,2.574.375,719.166.666.666.667,990.466.666.666.667,125.25,10.7125,15.9,8.1,0,13,5840,222.602.739.726.027,23,36.42,72.38,14.33,27.36,2.78
2012-01-23,154.583.333.333.333,282.104.166.666.667,640.208.333.333.333,987.614.583.333.333,1.264.375,115.666.666.666.667,17.5,7.5,0,27,12632,213.742.875.237.492,38.14,51.64,111.77,7.18,28.12,12.45
2012-01-24,130.416.666.666.667,212.333.333.333.333,731.875,991.295.833.333.333,128.604.166.666.667,904.583.333.333.333,15.5,5.4,0,40,16203,246.867.863.975.807,44.96,48.54,121.08,10.71,32.12,8.87
2012-01-25,142.083.333.333.333,237.208.333.333.333,75.25,98.938.125,1.268.125,922.916.666.666.666,16.5,4.8,0,36,15399,233.781.414.377.557,68.96,57.5,163.33,08.08,47.38,13.91
2012-01-26,116.875,230.25,779.791.666.666.667,9.875.625,115.208.333.333.333,842.916.666.666.667,15.2,3.5,0,28,12295,227.734.851.565.677,63.96,58.5,157.12,8.62,44.79,9.91
2012-01-27,8.875,224.479.166.666.667,833.125,9.911.625,400.625,853.333.333.333.333,11.6,6.5,0,27,13094,206.201.313.578.738,93.12,69.67,212,4.88,57,18
2012-01-28,945.833.333.333.333,263.541.666.666.667,881.041.666.666.667,992.152.083.333.333,25.125,6.9125,8.2,3.9,1.3,8,4075,196.319.018.404.908,33.25,43.12,94.96,5.25,33,6.65
