date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,c6h6,co,no,no2,nox,o3,so2,casos_total,poblacio_total,incidencia_1000
2011-10-13,248.125,209.979.166.666.667,697.916.666.666.667,NA,1.603.125,208.833.333.333.333,26.5,16.2,0,NA,0.54,4.62,16,NA,54.58,1.71,46,24179,190.247.735.638.364
2011-10-14,236.458.333.333.333,2.083.125,667.291.666.666.667,NA,164.270.833.333.333,200.020.833.333.333,24.9,16,0,NA,0.37,04.04,17.04,NA,44.75,1.42,25,11356,220.147.939.415.287
2011-10-15,259.791.666.666.667,197.354.166.666.667,656.666.666.666.667,NA,143.75,1.838.125,22.5,13.2,0,NA,0.4,2.33,13.12,NA,61.96,1.25,3,2143,139.990.667.288.847
2011-10-16,223.125,267.729.166.666.667,69.125,NA,1.564.375,1.845.625,23.5,13.8,0,NA,0.39,1.17,5.29,NA,69.54,1,2,1208,165.562.913.907.285
2011-10-17,2.2875,263.666.666.666.667,787.083.333.333.333,NA,972.916.666.666.667,1.773.125,23.5,14.2,0.3,NA,0.35,4,8.59,NA,61.04,1.46,47,19495,241.087.458.322.647
2011-10-18,332.083.333.333.333,277.125,752.083.333.333.333,NA,172.458.333.333.333,1.784.375,24.3,13.5,0,NA,0.49,13.83,19.54,NA,60.83,1.29,37,18455,200.487.672.717.421
2011-10-19,378.958.333.333.333,243.729.166.666.667,745.416.666.666.667,NA,1.560.625,183.604.166.666.667,23.4,13.4,0.1,NA,0.77,9.42,13.38,NA,65.42,1.21,39,18054,216.018.610.834.164
2011-10-20,255.416.666.666.667,252.583.333.333.333,652.083.333.333.333,NA,103.208.333.333.333,153.666.666.666.667,20.3,10.8,0,NA,0.5,4.13,8.91,NA,57.23,1.77,27,12516,215.723.873.441.994
2011-10-21,273.958.333.333.333,213.416.666.666.667,631.875,NA,667.291.666.666.667,144.229.166.666.667,17.8,9.7,0,NA,0.33,5.38,17.5,NA,46.79,3.88,24,10047,238.877.276.799.044
2011-10-22,222.708.333.333.333,192.270.833.333.333,758.333.333.333.333,NA,101.375,165.875,20.8,12.8,0,NA,0.31,2.12,9.33,NA,61.54,3.71,8,2743,2.916.514.764.856
2011-10-23,212.708.333.333.333,299.979.166.666.667,86.625,NA,513.333.333.333.333,155.833.333.333.333,19.5,13.1,3.6,NA,0.33,1.79,5.21,NA,46.83,4,2,990,202.020.202.020.202
2011-10-24,182.916.666.666.667,232.145.833.333.333,925.833.333.333.333,NA,645.208.333.333.333,166.145.833.333.333,20.8,14.2,46.4,NA,0.29,3.5,17.88,NA,36,6.75,32,13222,242.020.874.300.408
2011-10-25,307.083.333.333.333,3.071.875,637.708.333.333.333,NA,164.375,164.395.833.333.333,21.2,11.3,0.3,NA,0.2,09.04,15.38,NA,41.33,6.32,26,14750,176.271.186.440.678
2011-10-26,268.541.666.666.667,279.104.166.666.667,620.625,NA,149.791.666.666.667,145.979.166.666.667,20.8,9,0,NA,0.23,13.75,22.25,NA,42.08,2.25,43,13517,318.117.925.575.202
2011-10-27,198.958.333.333.333,285.875,856.875,NA,244.791.666.666.667,163.541.666.666.667,21.2,14.1,15.9,NA,0.24,16.21,18.96,NA,23.83,1.79,27,13947,193.590.019.359.002
2011-10-28,251.875,230.416.666.666.667,907.916.666.666.667,NA,490.833.333.333.333,17.075,19.6,15.1,33.3,NA,0.21,5.38,26,NA,34.42,01.04,15,5197,288.628.054.646.912
2011-10-29,2.8,186.854.166.666.667,83.625,NA,690.416.666.666.667,182.333.333.333.333,22,15.5,0,NA,0.2,2.54,16.67,NA,42.75,01.08,7,6128,114.229.765.013.055
2011-10-30,217.083.333.333.333,273.229.166.666.667,814.375,NA,134.104.166.666.667,176.645.833.333.333,23.3,14,0,NA,0.2,1.21,5.92,NA,39.62,01.04,1,1105,904.977.375.565.611
2011-10-31,208.541.666.666.667,278.354.166.666.667,872.708.333.333.333,NA,922.708.333.333.333,162.916.666.666.667,20.8,12.8,0,NA,0.2,4.25,5.4,NA,25.29,2.17,27,15841,170.443.785.114.576
2011-11-01,185.208.333.333.333,253.583.333.333.333,905.208.333.333.333,NA,846.875,17.825,22.3,14.2,0,NA,0.2,1.29,1.25,NA,39.82,1.25,1,106,943.396.226.415.094
2011-11-02,306.458.333.333.333,224.020.833.333.333,871.875,NA,122.895.833.333.333,192.770.833.333.333,22.2,16.1,33.8,NA,0.2,3.58,4.25,NA,42.8,1.67,30,15104,198.622.881.355.932
2011-11-03,270.416.666.666.667,2.376.875,893.541.666.666.667,NA,50.375,187.708.333.333.333,21.8,15.9,0.2,NA,0.23,4,4.96,NA,32.72,3.25,24,8681,276.465.844.948.739
2011-11-04,273.958.333.333.333,2.120.625,917.708.333.333.333,NA,305.625,163.291.666.666.667,19.2,14.4,23.7,NA,0.21,1.79,5.54,NA,46.36,3,24,10874,220.709.950.340.261
2011-11-05,196.458.333.333.333,2.486.875,862.083.333.333.333,NA,743.125,152.395.833.333.333,18.1,12.7,6.2,NA,0.22,2.79,4.75,NA,39.52,2.83,9,3356,268.176.400.476.758
2011-11-06,270.833.333.333.333,259.833.333.333.333,886.875,NA,27.625,136.583.333.333.333,16.6,11.6,23.6,NA,0.21,2.33,2.96,NA,42.5,1.88,3,2993,100.233.879.051.119
2011-11-07,250.416.666.666.667,2.954.375,751.666.666.666.667,NA,860.416.666.666.667,1.581.875,21,13.3,0.1,NA,0.21,5.83,7.7,NA,41.52,1.43,44,14315,30.736.989.172.197
2011-11-08,260.625,276.875,777.291.666.666.667,NA,1.319.375,1.550.625,20.7,12.4,0,NA,0.2,5.46,6,NA,24.33,1.12,32,15661,20.432.922.546.453
2011-11-09,262.083.333.333.333,2.766.875,80.625,NA,128.479.166.666.667,1.434.375,20.4,10.9,0,NA,0.27,18.95,13,NA,19.58,2.7,28,14744,189.907.759.088.443
2011-11-10,310.416.666.666.667,278.354.166.666.667,81.875,NA,119.541.666.666.667,146.479.166.666.667,20,11,0,NA,0.39,11.96,21.83,NA,25.41,1.86,24,14349,167.259.042.441.982
2011-11-11,239.166.666.666.667,271.833.333.333.333,871.875,NA,124.458.333.333.333,156.770.833.333.333,21.3,11.7,0,NA,0.47,15.92,20.54,NA,31.42,1.42,31,12089,256.431.466.622.549
2011-11-12,1.75,219.520.833.333.333,875.208.333.333.333,NA,102.645.833.333.333,169.625,20.9,14.3,0,NA,0.44,5.21,18.75,NA,38.55,1,4,2359,169.563.374.311.149
2011-11-13,236.041.666.666.667,190.5,87.125,NA,327.708.333.333.333,16.05,17.6,14.4,7.7,NA,0.4,1.67,18.54,NA,57.64,1,3,2085,143.884.892.086.331
2011-11-14,2.325,181.5,880.625,NA,327.708.333.333.333,149.916.666.666.667,17.6,13.6,4.5,NA,0.4,6.58,25.83,NA,59.26,01.04,52,21098,246.468.859.607.546
2011-11-15,332.916.666.666.667,131.333.333.333.333,90.625,NA,247.291.666.666.667,153.104.166.666.667,17.7,13.2,46.9,NA,0.39,5.21,26.67,NA,58.19,01.08,21,12509,167.879.127.028.539
2011-11-16,240.208.333.333.333,178.583.333.333.333,843.125,NA,269.791.666.666.667,149.854.166.666.667,16.4,13.1,14,NA,0.35,10.12,22.08,NA,57.18,01.04,31,12331,251.398.913.307.923
2011-11-17,169.791.666.666.667,194.083.333.333.333,78.75,NA,717.083.333.333.333,1.524.375,17.7,13.4,0.6,NA,0.36,6.57,23.38,NA,47.12,1.26,48,21787,220.314.866.663.607
2011-11-18,210.833.333.333.333,254.416.666.666.667,868.958.333.333.333,NA,660.625,131.458.333.333.333,17.1,10.8,0,NA,0.39,10.67,22.62,NA,22.22,1.79,25,12660,197.472.353.870.458
2011-11-19,266.041.666.666.667,238.375,864.583.333.333.333,NA,51.75,134.083.333.333.333,17.1,9.8,0.6,NA,0.38,6.12,26.54,NA,44.83,1.83,6,3532,169.875.424.688.562
2011-11-20,286.875,1.549.375,850.416.666.666.667,NA,983.541.666.666.667,16.5,19.4,14.1,0.1,NA,0.34,2.58,18.83,NA,58.33,1.38,1,836,119.617.224.880.383
2011-11-21,306.458.333.333.333,145.229.166.666.667,821.041.666.666.667,NA,596.458.333.333.333,155.125,19.1,13.2,4.1,NA,0.3,4.13,18.87,NA,58.54,2.96,67,30734,217.999.609.552.938
2011-11-22,403.333.333.333.333,422.291.666.666.667,724.791.666.666.667,NA,428.333.333.333.333,164.541.666.666.667,17.4,14.6,0.2,NA,0.3,3.58,13.79,NA,67.54,3.29,20,10226,195.579.894.386.857
2011-11-23,256.875,285.395.833.333.333,724.166.666.666.667,NA,111.520.833.333.333,147.125,20.6,10.4,0,NA,0.31,17.62,24.04,NA,31.71,3.46,27,12270,220.048.899.755.501
2011-11-24,2.8,261.458.333.333.333,801.875,NA,106.5,127.229.166.666.667,19.2,9.2,0,NA,0.28,13,21.67,NA,20.88,2.58,33,13477,244.861.616.086.666
2011-11-25,260.625,285.958.333.333.333,80,NA,106.520.833.333.333,121.916.666.666.667,18.7,8.7,0,NA,0.32,21.67,25,NA,13.42,2.71,27,8330,324.129.651.860.744
2011-11-26,406.041.666.666.667,324.958.333.333.333,727.916.666.666.667,NA,111.958.333.333.333,11.1375,16.3,8,0,NA,0.23,9.21,16.79,NA,21.96,2,7,2465,283.975.659.229.209
2011-11-27,3.1375,278.166.666.666.667,821.875,NA,72.875,104.708.333.333.333,16.8,6.2,0,NA,0.23,3.42,14.62,NA,42.54,1.83,NA,NA,NA
2011-11-28,277.291.666.666.667,282.166.666.666.667,810.416.666.666.667,NA,60.5,115.291.666.666.667,16.9,8.2,0,NA,0.22,14.21,27.67,NA,33.91,3.14,56,24064,232.712.765.957.447
2011-11-29,323.125,300.604.166.666.667,745.833.333.333.333,NA,95.875,127.958.333.333.333,19.5,9.9,0,NA,0.2,7.92,22.25,NA,39.88,3.96,41,23439,174.922.138.316.481
2011-11-30,291.875,291.333.333.333.333,776.458.333.333.333,NA,1.010.625,11.2,18.2,8.1,0,NA,0.21,10.33,19.08,NA,25.62,3,40,20154,198.471.767.391.089
2011-12-01,298.333.333.333.333,286.395.833.333.333,820.416.666.666.667,NA,98.125,112.958.333.333.333,17.2,6.7,0,NA,0.26,24.38,23.92,NA,37.12,3.67,34,18389,184.893.142.639.622
2011-12-02,306.458.333.333.333,317.583.333.333.333,750.416.666.666.667,NA,74.75,127.604.166.666.667,18.3,9.4,0,NA,0.26,28.5,28.5,NA,35.61,3.54,25,8563,291.953.754.525.283
2011-12-03,340.416.666.666.667,325.25,692.291.666.666.667,NA,859.583.333.333.333,1.211.875,14.8,10.1,0.4,NA,0.2,5.12,14.75,NA,29.33,3.62,2,1310,152.671.755.725.191
2011-12-04,213.333.333.333.333,306.875,717.291.666.666.667,NA,972.916.666.666.667,115.979.166.666.667,17.1,7.9,0,NA,0.2,3.62,10.71,NA,32.67,3.83,2,1536,130.208.333.333.333
2011-12-05,243.333.333.333.333,269.145.833.333.333,742.708.333.333.333,NA,98,1.183.125,17.3,6.7,0,NA,0.21,11.86,22.36,NA,20.58,4.33,34,14783,229.993.911.925.861
2011-12-06,240.833.333.333.333,301.166.666.666.667,749.791.666.666.667,NA,1.000.625,111.354.166.666.667,17.3,7.6,0,NA,0.22,4.21,10.92,NA,40.92,4.5,8,5044,158.604.282.315.623
2011-12-07,306.458.333.333.333,305.895.833.333.333,715.833.333.333.333,NA,99.375,110.083.333.333.333,17.2,7.2,0,NA,0.21,5.79,14.5,NA,39.42,NA,41,17008,241.063.029.162.747
2011-12-08,307.291.666.666.667,294.354.166.666.667,772.083.333.333.333,NA,970.833.333.333.333,11.2,17.4,7.6,0,NA,0.2,4.33,10.62,NA,32.25,NA,2,450,444.444.444.444.444
2011-12-09,3.175,313.229.166.666.667,806.041.666.666.667,NA,835.625,943.958.333.333.333,13.9,6,0,NA,0.22,9.75,17.92,NA,18.83,1,39,15293,255.018.635.977.244
2011-12-10,3.275,319.708.333.333.333,76.875,NA,840.208.333.333.333,970.833.333.333.333,14.9,6.6,0,NA,0.25,6.71,14.5,NA,25.17,01.04,14,7975,175.548.589.341.693
2011-12-11,334.791.666.666.667,305.020.833.333.333,78,NA,842.708.333.333.333,8.6125,15.2,5.1,0,NA,0.24,5.38,12.08,NA,23.62,01.04,5,3877,128.965.695.125.097
2011-12-12,312.708.333.333.333,3.168.125,736.041.666.666.667,NA,969.583.333.333.333,980.625,16.3,6.2,0,NA,0.25,19.04,20.58,NA,15.83,1.71,42,17669,2.377.044.541.287
2011-12-13,2.6375,297.875,736.875,NA,834.375,989.375,17.5,5.1,0,NA,0.21,12.42,19.67,NA,30.29,1.96,31,15573,199.062.479.933.218
2011-12-14,278.541.666.666.667,259.270.833.333.333,687.291.666.666.667,NA,778.125,133.625,19.5,9,0,NA,0.28,21.96,27.88,NA,24.09,2.58,10,7504,133.262.260.127.932
2011-12-15,372.083.333.333.333,295.208.333.333.333,600.833.333.333.333,NA,83,115.145.833.333.333,16.2,7.9,0,NA,0.21,13.75,19.92,NA,45.5,3,36,15426,233.372.228.704.784
2011-12-16,544.166.666.666.667,270.75,53.25,NA,483.958.333.333.333,140.166.666.666.667,17.9,11.2,0,NA,0.22,7.33,15.38,NA,52.46,2.38,42,18457,227.555.940.835.455
2011-12-17,597.291.666.666.667,321.5,547.708.333.333.333,NA,989.791.666.666.667,103.291.666.666.667,13.8,7.7,0,NA,0.26,8.88,8.67,NA,66.12,01.08,7,5567,125.740.973.594.396
2011-12-18,359.166.666.666.667,317.208.333.333.333,562.083.333.333.333,NA,995.208.333.333.333,780.416.666.666.667,13.5,2.8,0,NA,0.31,5.96,12.71,NA,48.17,1.25,8,3643,21.959.923.140.269
2011-12-19,252.916.666.666.667,3.005.625,624.166.666.666.667,NA,702.083.333.333.333,619.791.666.666.667,11.6,2,0,NA,0.33,21.55,24.82,NA,25.71,1.88,50,27324,182.989.313.424.096
2011-12-20,310.416.666.666.667,3.184.375,709.583.333.333.333,NA,65.375,866.041.666.666.667,15.1,3.8,0,NA,0.26,19.04,25.75,NA,20.04,1.67,29,15191,190.902.508.063.985
2011-12-21,2.5,299.395.833.333.333,796.875,NA,51.75,949.583.333.333.333,15.8,5.8,0,NA,0.25,18.54,23.17,NA,15.92,1.38,49,26473,18.509.424.696.861
2011-12-22,3.875,314.020.833.333.333,671.875,NA,892.916.666.666.667,132.833.333.333.333,18.2,7.7,0,NA,0.22,21.17,22.67,NA,13.67,1.29,16,8059,198.535.798.486.165
2011-12-23,436.458.333.333.333,321.75,699.791.666.666.667,NA,966.666.666.666.667,109.729.166.666.667,16.2,8.3,0,NA,0.24,17.08,18.46,NA,18.67,1.21,30,11493,261.028.452.101.279
2011-12-24,3.775,322.104.166.666.667,710.208.333.333.333,NA,799.583.333.333.333,9.7,15.5,5.4,0,NA,0.2,6.42,11.54,NA,36,1.46,8,3354,238.521.168.753.727
2011-12-25,3.6,319.020.833.333.333,645.416.666.666.667,NA,994.166.666.666.667,786.041.666.666.667,14.4,4.5,0,NA,0.23,4.71,11.88,NA,34.12,2.79,3,1143,26.246.719.160.105
2011-12-26,315.625,2.829.375,707.291.666.666.667,NA,957.916.666.666.667,645.416.666.666.667,13.9,2.7,0,NA,0.24,4.62,17.17,NA,26.92,03.08,7,4339,161.327.494.814.473
2011-12-27,392.916.666.666.667,245.208.333.333.333,647.708.333.333.333,NA,729.375,863.958.333.333.333,16.3,3.9,0,NA,0.22,12.17,23.92,NA,33.5,3.88,31,17762,174.529.895.282.063
2011-12-28,319.375,304.166.666.666.667,671.875,NA,985.833.333.333.333,7.875,16,3.4,0,NA,0.31,13.75,23.08,NA,23.78,2.19,38,22297,170.426.514.777.773
2011-12-29,311.041.666.666.667,310.541.666.666.667,625.208.333.333.333,NA,888.541.666.666.667,834.791.666.666.666,15,4.3,0,NA,0.29,10.42,19.08,NA,35.42,1.59,35,15889,220.278.179.872.868
2011-12-30,3.9375,311.291.666.666.667,557.916.666.666.667,NA,979.166.666.666.667,985.625,15.6,1.5,0,NA,0.25,6.79,17.38,NA,44.38,1.17,28,14554,192.386.972.653.566
2011-12-31,303.541.666.666.667,292.479.166.666.667,655.208.333.333.333,NA,993.333.333.333.333,116.708.333.333.333,16.8,8,0,NA,0.27,05.08,15.25,NA,32.46,1,9,5297,169.907.494.808.382
2012-01-01,341.041.666.666.667,298.729.166.666.667,750.208.333.333.333,NA,973.541.666.666.667,1.170.625,17.1,8,0,NA,0.3,3.62,14.88,NA,26.58,1,NA,NA,NA
2012-01-02,334.583.333.333.333,304.5,601.875,NA,928.541.666.666.667,122.708.333.333.333,17.8,6.8,0.1,NA,0.21,13.7,14.4,NA,39.71,01.04,40,20708,193.162.062.970.833
2012-01-03,295.625,289.333.333.333.333,669.375,NA,94.25,924.791.666.666.667,15.1,5.2,0,NA,0.32,14.12,16.54,NA,31.54,1.75,18,10884,165.380.374.862.183
2012-01-04,315.416.666.666.667,265.354.166.666.667,759.166.666.666.667,NA,888.541.666.666.667,892.708.333.333.333,16.6,4.7,0,NA,0.38,22.42,17.46,NA,18.21,3.12,29,16707,17.357.993.655.354
2012-01-05,401.666.666.666.667,3.133.125,571.875,NA,202.916.666.666.667,1.169.375,16.3,7.5,0,NA,0.27,25.65,18.91,NA,30.04,2.91,11,7376,149.132.321.041.215
2012-01-06,236.666.666.666.667,2.424.375,710.208.333.333.333,NA,840.416.666.666.667,117.541.666.666.667,16.3,5.5,0,NA,0.2,10.33,6.67,NA,49.62,2.21,8,6327,12.644.223.170.539
2012-01-07,282.708.333.333.333,299.666.666.666.667,696.875,NA,102.895.833.333.333,811.875,14.7,3.6,0,NA,0.22,10.79,7.25,NA,39.33,2.54,3,2469,121.506.682.867.558
2012-01-08,368.958.333.333.333,314.25,722.083.333.333.333,NA,102.104.166.666.667,846.666.666.666.667,13.8,5.1,0,NA,0.22,10.25,5.75,NA,32.79,3.71,4,2764,144.717.800.289.436
2012-01-09,3.6625,306.604.166.666.667,731.875,NA,101.333.333.333.333,902.916.666.666.667,14.9,5.7,0,NA,0.28,22.54,18.08,NA,19.58,5.42,45,19874,226.426.486.867.264
2012-01-10,356.458.333.333.333,290.020.833.333.333,793.541.666.666.667,NA,100.520.833.333.333,7.4125,14.4,3.5,0,NA,0.39,30.42,20.79,NA,13.83,3.18,37,15508,238.586.535.981.429
2012-01-11,279.583.333.333.333,290.666.666.666.667,805.625,NA,861.666.666.666.667,733.125,14.7,3.8,0,NA,0.4,20.79,18.08,NA,19.79,2.75,22,11512,191.104.933.981.932
2012-01-12,343.333.333.333.333,296.270.833.333.333,824.375,NA,931.041.666.666.667,736.875,14.6,3.8,0,NA,0.39,34.58,19.42,NA,19.96,4.54,34,15016,226.425.146.510.389
2012-01-13,481.875,321.833.333.333.333,652.916.666.666.667,NA,1.081.875,664.791.666.666.666,13.4,3.2,0,NA,0.43,32.17,22.83,NA,9.27,4.88,25,14236,175.611.126.720.989
2012-01-14,430.208.333.333.333,302.375,70.375,NA,865.833.333.333.333,606.041.666.666.667,13,2.1,0,NA,0.34,15.42,16.12,NA,24.08,5.92,10,5508,181.554.103.122.731
2012-01-15,2.8125,273.416.666.666.667,75.75,NA,941.458.333.333.333,766.041.666.666.667,12.5,4.7,0,NA,0.34,10.92,11.92,NA,31.17,6.83,8,3599,222.283.967.768.825
2012-01-16,371.458.333.333.333,157.729.166.666.667,759.166.666.666.667,NA,527.708.333.333.333,875.833.333.333.333,12,3.7,0.4,NA,0.3,9.6,25.1,NA,38.78,1.11,51,23469,217.307.938.131.152
2012-01-17,296.875,1.624.375,747.083.333.333.333,NA,103.979.166.666.667,105.979.166.666.667,14.5,6.2,0.1,NA,0.21,7.43,20.87,NA,46.71,1.48,27,14739,183.187.461.835.945
2012-01-18,301.875,2.958.125,770.208.333.333.333,NA,109.979.166.666.667,741.875,14,4.1,0,NA,0.2,11.79,20.33,NA,25.17,1.38,36,17025,211.453.744.493.392
2012-01-19,348.541.666.666.667,295.729.166.666.667,729.375,NA,106.229.166.666.667,803.958.333.333.333,14.8,2.5,0,NA,0.27,25.91,25.09,NA,14.91,2.38,31,20256,153.041.074.249.605
2012-01-20,3.275,301.916.666.666.667,718.541.666.666.667,NA,108.333.333.333.333,100.145.833.333.333,17.5,6.1,0,NA,0.27,16.38,25.83,NA,13.43,01.04,35,13044,268.322.600.429.316
2012-01-21,296.875,2.955.625,68.125,NA,113.333.333.333.333,102.916.666.666.667,17.9,6,0,NA,0.23,8.42,21.92,NA,21.75,1,10,7221,13.848.497.438.028
2012-01-22,305.625,292.541.666.666.667,75.125,NA,117.895.833.333.333,1.019.375,17.8,6.5,0,NA,0.2,5.54,13,NA,24.92,1,9,6142,146.532.074.242.918
2012-01-23,401.875,317.083.333.333.333,686.666.666.666.667,NA,114.604.166.666.667,112.145.833.333.333,17.5,6.9,0,NA,0.22,13.96,22.21,NA,20.62,1.54,47,20081,23.405.208.903.939
2012-01-24,311.458.333.333.333,301.229.166.666.667,750.833.333.333.333,NA,113.458.333.333.333,947.291.666.666.666,15.4,5.7,0,NA,0.26,8.79,17.79,NA,29.42,2.42,29,18636,155.612.792.444.731
2012-01-25,336.041.666.666.667,288.75,761.666.666.666.667,NA,121.520.833.333.333,827.083.333.333.333,15.4,4.4,0,NA,0.36,21.96,24.17,NA,18.96,3.58,22,12562,175.131.348.511.384
2012-01-26,290.625,269.333.333.333.333,772.291.666.666.667,NA,109.979.166.666.667,833.333.333.333.333,15.4,3.6,0,NA,0.29,24.17,27.83,NA,16.59,3.96,29,16398,17.685.083.546.774
2012-01-27,268.541.666.666.667,252.041.666.666.667,772.291.666.666.667,NA,455.625,967.083.333.333.333,13.1,6.5,0,NA,0.28,11.71,32.62,NA,29.12,1.3,50,22859,218.732.228.006.474
2012-01-28,2.0375,282.416.666.666.667,851.458.333.333.333,NA,174.166.666.666.667,862.083.333.333.333,10,6.2,2.3,NA,0.25,7.92,22.71,NA,9.67,1.75,12,11148,107.642.626.480.086
2012-01-29,247.916.666.666.667,258.25,758.333.333.333.333,NA,840.416.666.666.667,578.125,11,2,0,NA,0.27,5.38,17.25,NA,25.12,3.79,5,4283,116.740.602.381.508
2012-01-30,292.291.666.666.667,294.770.833.333.333,607.291.666.666.667,NA,131.5,558.125,11.9,0.8,0,NA,0.26,10.04,19.78,NA,35.96,2,46,24462,188.046.766.413.212
2012-01-31,298.125,2.755.625,574.583.333.333.333,NA,671.875,664.583.333.333.333,12,1.7,0,NA,0.28,20.67,28.67,NA,23.08,1.64,37,19583,188.939.386.202.318
