date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,no,no2,nox,o3,pm10,pm2.5,so2,casos_total,poblacio_total,incidencia_1000
2011-10-09,176.458.333.333.333,251.979.166.666.667,553.958.333.333.333,992.364.583.333.334,210.729.166.666.667,1.800.625,25.1,12.8,0,26.58,52.46,92.71,NA,NA,NA,4,1,1081,925.069.380.203.515
2011-10-10,201.875,259.479.166.666.667,453.333.333.333.333,994.114.583.333.333,207,227.333.333.333.333,30.6,17.5,0,56.08,77,162.33,NA,NA,NA,5.54,27,10829,249.330.501.431.342
2011-10-11,153.541.666.666.667,230.729.166.666.667,422.083.333.333.333,992.522.916.666.666,202.5,237.583.333.333.333,32.1,16.9,0,26.75,66.46,107.08,NA,NA,NA,4.29,8,4673,171.196.233.682.859
2011-10-12,145.416.666.666.667,2.449.375,403.541.666.666.667,990.502.083.333.333,201.541.666.666.667,242.916.666.666.667,33.2,16.9,0,40.71,69,131.12,NA,NA,NA,3.92,5,4991,100.180.324.584.252
2011-10-13,1.8,191.645.833.333.333,643.541.666.666.667,98.951.875,1.910.625,214.375,28.5,17,0,48.71,59.54,133.58,NA,NA,NA,4.33,17,7083,24.001.129.464.916
2011-10-14,151.875,2.076.875,709.375,990.683.333.333.333,163.833.333.333.333,189.229.166.666.667,25.8,15,0,19.75,49.38,79.21,NA,NA,NA,3,8,5278,151.572.565.365.669
2011-10-15,146.041.666.666.667,149.041.666.666.667,660.833.333.333.333,993.633.333.333.333,1.213.125,1.751.875,21,15.3,0,6.62,38.25,47.92,NA,NA,NA,2.38,6,3893,154.122.784.484.973
2011-10-16,152.291.666.666.667,238.104.166.666.667,687.916.666.666.667,99.379.375,114.270.833.333.333,17.75,22.6,14,0,34.17,56.96,108.79,NA,NA,NA,03.08,0,0,NA
2011-10-17,145.625,223.520.833.333.333,769.583.333.333.333,992.972.916.666.667,112.291.666.666.667,17.725,23.9,13.6,0.1,40.92,52.75,115.08,NA,NA,NA,2.88,17,8731,194.708.509.907.227
2011-10-18,215.208.333.333.333,2.401.875,67,99.079.375,168.604.166.666.667,186.104.166.666.667,24.9,15,0,28.68,47.32,91.05,NA,NA,NA,2.43,18,9453,190.415.741.034.592
2011-10-19,190.208.333.333.333,2.321.875,736.458.333.333.333,988.641.666.666.667,141.979.166.666.667,184.958.333.333.333,23.8,14.1,0,30.04,53.83,99.17,NA,NA,NA,2.29,10,6262,159.693.388.693.708
2011-10-20,161.875,2.435.625,603.333.333.333.333,991.414.583.333.333,132.770.833.333.333,148.291.666.666.667,20.8,11.4,0,42.62,61.42,126.33,NA,NA,NA,03.08,6,2985,201.005.025.125.628
2011-10-21,126.875,179.395.833.333.333,634.375,991.141.666.666.667,703.541.666.666.667,128.958.333.333.333,17.7,8.6,0,9.92,45.5,60.5,NA,NA,NA,1.71,4,2907,137.598.899.208.806
2011-10-22,118.541.666.666.667,176.708.333.333.333,781.875,98.869.375,918.125,149.625,20.7,12.7,0,11.33,40.58,57.67,NA,NA,NA,1.75,12,5165,232.333.010.648.596
2011-10-23,1.1375,2.486.875,947.916.666.666.667,984.704.166.666.666,600.208.333.333.333,141.416.666.666.667,18.2,12.3,7.4,54.67,66.88,150.04,NA,NA,NA,3.83,3,1674,17.921.146.953.405
2011-10-24,127.083.333.333.333,206.833.333.333.333,95,974.177.083.333.333,70.625,151.125,18.4,13.2,40.2,20.75,34.04,65.08,NA,NA,NA,2.46,18,10051,179.086.658.043.976
2011-10-25,305.625,316.875,602.291.666.666.667,975.783.333.333.333,173.229.166.666.667,151.604.166.666.667,18.2,12,0,36,54.58,109.21,NA,NA,NA,1.92,7,3979,175.923.598.894.195
2011-10-26,170.625,240.770.833.333.333,54.75,9.837.875,158.75,14.75,21,9.5,0,84.46,79.46,208.08,NA,NA,NA,2.54,12,6973,172.092.356.231.177
2011-10-27,103.333.333.333.333,209.979.166.666.667,906.875,980.483.333.333.333,190.625,150.354.166.666.667,17.6,13.5,22.1,39.92,61.79,122.42,NA,NA,NA,1.92,16,9650,16.580.310.880.829
2011-10-28,577.083.333.333.333,166.770.833.333.333,978.125,98.780.625,310.833.333.333.333,1.498.125,16.2,13.6,23.1,25.08,40.33,78.54,NA,NA,NA,01.04,12,8975,133.704.735.376.045
2011-10-29,7.875,114.645.833.333.333,90.5,992.045.833.333.333,347.916.666.666.667,1.644.375,20.2,14,0,13.67,28.33,48.96,NA,NA,NA,1.67,6,3977,150.867.488.056.324
2011-10-30,128.333.333.333.333,246.395.833.333.333,847.291.666.666.667,991.483.333.333.333,1.315.625,163.791.666.666.667,21.2,13.4,0,48.71,41.5,115.25,NA,NA,NA,3.33,17,9839,172.781.786.766.948
2011-10-31,877.083.333.333.333,232.666.666.666.667,90,9.882.875,742.708.333.333.333,156.208.333.333.333,19.7,12.1,0.1,26.17,34.96,74.75,NA,NA,NA,1.79,9,3115,28.892.455.858.748
2011-11-01,125.833.333.333.333,209.083.333.333.333,852.083.333.333.333,98.683.125,103.145.833.333.333,179.645.833.333.333,22,15.5,0,32.75,36,85.83,NA,NA,NA,1.67,2,1156,173.010.380.622.837
2011-11-02,219.166.666.666.667,1.724.375,878.541.666.666.667,983.629.166.666.667,891.875,178.291.666.666.667,20.4,16.2,16.6,32.12,46.88,95.5,NA,NA,NA,1.67,14,8426,166.152.385.473.534
2011-11-03,241.666.666.666.667,202.291.666.666.667,89.375,974.804.166.666.667,350.208.333.333.333,1.733.125,19.4,14.8,1.2,38.04,64.67,122.67,NA,NA,NA,2.42,17,7144,237.961.926.091.825
2011-11-04,176.875,191.708.333.333.333,958.958.333.333.333,969.545.833.333.333,29.5,144.208.333.333.333,16.8,13.6,42.7,10.25,24.67,40.12,NA,NA,NA,2.12,5,2626,19.040.365.575.019
2011-11-05,1.325,260.625,873.541.666.666.667,969.616.666.666.667,749.791.666.666.667,137.104.166.666.667,16.4,11.3,5.6,3.83,21.92,27.29,NA,NA,NA,1.29,1,1021,979.431.929.480.901
2011-11-06,241.875,284.229.166.666.667,859.583.333.333.333,974.910.416.666.667,250.416.666.666.667,125.729.166.666.667,15,10.4,19.9,28.83,35.29,78.92,NA,NA,NA,2.17,0,0,NA
2011-11-07,205.208.333.333.333,320.416.666.666.667,725.416.666.666.667,981.820.833.333.333,108.479.166.666.667,149.145.833.333.333,18.3,12,0,23.96,35.42,71.54,NA,NA,NA,2.25,31,16177,191.630.092.106.077
2011-11-08,139.375,2.533.125,809.791.666.666.667,983.997.916.666.667,1.350.625,138.729.166.666.667,19.6,10.7,0,57.04,49.62,136.46,NA,NA,NA,3.54,9,4752,189.393.939.393.939
2011-11-09,122.708.333.333.333,242.729.166.666.667,801.458.333.333.333,987.864.583.333.333,131.625,139.541.666.666.667,20.2,10.1,0,48.38,54.42,127.88,NA,NA,NA,3.62,13,6684,194.494.314.781.568
2011-11-10,116.875,265.333.333.333.333,824.791.666.666.667,987.579.166.666.667,121.270.833.333.333,144.645.833.333.333,20.3,10.4,0,51.08,59.67,137,NA,NA,NA,2.42,10,7962,125.596.583.772.921
2011-11-11,151.041.666.666.667,268.854.166.666.667,828.958.333.333.333,9.881.625,1.281.875,16.425,22.8,13.6,0,34.62,48.92,101.58,NA,NA,NA,1.46,17,10682,159.146.227.298.259
2011-11-12,106.458.333.333.333,185.895.833.333.333,885.416.666.666.667,995.108.333.333.334,109.541.666.666.667,16.05,20.3,13.3,0,12.83,47.29,66.46,NA,NA,NA,1.92,5,3145,158.982.511.923.688
2011-11-13,46.875,121.333.333.333.333,945.208.333.333.333,9.962.125,322.708.333.333.333,145.770.833.333.333,16.9,12.9,10.9,27,64.46,105.25,NA,NA,NA,3,1,677,147.710.487.444.609
2011-11-14,766.666.666.666.667,158.875,958.333.333.333.333,990.452.083.333.333,295.625,129.354.166.666.667,15.1,11.4,6.1,25.46,66.25,104.96,NA,NA,NA,3.71,19,13317,142.674.776.601.337
2011-11-15,0.85,1.651.875,990.833.333.333.333,983.033.333.333.333,12.4375,12.7625,13.9,11.8,52.8,27.88,55.58,97.75,NA,NA,NA,3.25,13,9263,140.343.301.306.272
2011-11-16,685.416.666.666.666,152.375,926.875,9.872.125,27.125,128.583.333.333.333,14.9,11.6,18.4,30.86,48.64,95.41,NA,NA,NA,3.71,16,9149,174.882.500.819.762
2011-11-17,879.166.666.666.667,206.104.166.666.667,853.958.333.333.333,993.197.916.666.667,703.125,132.270.833.333.333,16.9,11.4,0,49.25,44.12,119.17,NA,NA,NA,1,15,7564,198.307.773.664.728
2011-11-18,964.583.333.333.333,233.645.833.333.333,89.75,990.720.833.333.333,835.416.666.666.667,117.791.666.666.667,16,9,0,33.46,44.42,95.12,NA,NA,NA,1.5,15,10608,141.402.714.932.127
2011-11-19,714.583.333.333.333,192.104.166.666.667,905.625,98.539.375,55.625,11.9625,14.9,7.9,0.5,09.04,39.21,52.79,NA,NA,NA,2.46,1,530,188.679.245.283.019
2011-11-20,101.875,1.505.625,90.75,985.65,370.625,143.166.666.666.667,16.9,12.9,0,63.54,58.96,155.67,NA,NA,NA,4.71,9,8607,104.566.050.888.811
2011-11-21,80.625,60.75,88.375,9.815.625,394.791.666.666.667,137.354.166.666.667,16.9,12.4,5.3,30,56.29,101.75,NA,NA,NA,02.08,32,18199,175.833.837.024.012
2011-11-22,1.2125,358.958.333.333.333,854.583.333.333.333,981.9,208.541.666.666.667,137.895.833.333.333,14.6,12.5,0.7,52.58,45,125.25,NA,NA,NA,1.58,22,11266,19.527.782.709.036
2011-11-23,143.191.489.361.702,235.489.361.702.128,699.166.666.666.667,990.610.416.666.667,119.854.166.666.667,142.416.666.666.667,20.2,10.3,0,54.75,44.38,127.62,NA,NA,NA,1.96,14,7137,196.160.851.898.557
2011-11-24,109.166.666.666.667,241.25,83,996.658.333.333.333,111.333.333.333.333,11.975,18,8.5,0,72.08,50.75,160.79,NA,NA,NA,02.08,34,13917,244.305.525.616.153
2011-11-25,106.666.666.666.667,228.729.166.666.667,813.125,998.358.333.333.333,114.770.833.333.333,118.770.833.333.333,18.2,7.7,0.2,15.04,27.67,50.29,NA,NA,NA,2.17,12,5958,201.409.869.083.585
2011-11-26,170.416.666.666.667,287.083.333.333.333,753.958.333.333.333,998.529.166.666.667,119.770.833.333.333,100.729.166.666.667,15.1,7.3,0,32.62,34.17,83.79,NA,NA,NA,3.42,11,6229,176.593.353.668.326
2011-11-27,872.916.666.666.667,233.041.666.666.667,859.791.666.666.667,996.760.416.666.667,801.666.666.666.667,993.541.666.666.667,15.6,6.1,0,81.04,48.75,172.33,NA,NA,NA,3.12,0,0,NA
2011-11-28,0.9,2.133.125,854.375,994.008.333.333.333,629.375,105.708.333.333.333,14.9,7.1,0.1,73.88,57.08,169.5,NA,NA,NA,2.58,21,11759,178.586.614.508.036
2011-11-29,1.0875,2.369.375,780.833.333.333.333,993.429.166.666.667,780.416.666.666.667,1.268.125,18.1,9.7,0,51.79,49.33,127.92,NA,NA,NA,3.21,25,9347,267.465.496.950.893
2011-11-30,137.083.333.333.333,236.770.833.333.333,722.708.333.333.333,996.729.166.666.667,987.083.333.333.333,1.183.125,17.1,7.5,0,58.42,51.12,140.21,NA,NA,NA,3.38,12,6906,173.761.946.133.797
2011-12-01,212.083.333.333.333,258.208.333.333.333,81.625,994.485.416.666.667,107.708.333.333.333,125.270.833.333.333,16.6,10.4,0,31.17,49.29,96.67,NA,NA,NA,2.42,16,8204,195.026.816.187.226
2011-12-02,148.541.666.666.667,260.791.666.666.667,763.541.666.666.667,98.718.125,88.25,125.520.833.333.333,16.5,9.8,0,8.92,27.75,40.83,NA,NA,NA,1.75,20,7111,281.254.394.599.916
2011-12-03,162.916.666.666.667,296.395.833.333.333,695.208.333.333.333,992.075,945.416.666.666.667,109.604.166.666.667,13.9,8.9,0,17.17,33.17,59.17,NA,NA,NA,02.04,8,6166,129.743.756.081.739
2011-12-04,1.6875,312.375,665.416.666.666.667,989.720.833.333.333,106.875,1.101.875,14.7,9,0,28.88,44.04,88.04,NA,NA,NA,3.25,4,3234,123.685.837.971.552
2011-12-05,165.208.333.333.333,281.25,721.666.666.666.667,986.847.916.666.667,102.25,111.854.166.666.667,15.3,6.3,0,25.88,39.25,78.5,NA,NA,NA,2.62,15,6106,245.660.006.550.934
2011-12-06,1.7375,281.645.833.333.333,680.625,990.841.666.666.667,102.770.833.333.333,109.354.166.666.667,15.1,7.4,0,52.42,47.92,127.58,NA,NA,NA,2.25,4,2833,141.193.081.539.005
2011-12-07,1.4625,277.083.333.333.333,722.291.666.666.667,996.058.333.333.333,1.086.875,1.006.875,15.5,6.4,0,32.58,36.75,86.21,NA,NA,NA,3.58,17,9499,178.966.206.969.155
2011-12-08,136.875,238.479.166.666.667,772.083.333.333.333,996.941.666.666.667,987.916.666.666.667,10.825,16.7,7.9,0,57.71,43.21,131.25,NA,NA,NA,5.12,0,0,NA
2011-12-09,90.625,224.25,85.375,992.139.583.333.333,82.125,9.4375,14.3,5.4,0,22.83,28.42,62.79,NA,NA,NA,3.17,9,4264,211.069.418.386.492
2011-12-10,111.041.666.666.667,277.354.166.666.667,787.916.666.666.667,98.770.625,935.208.333.333.333,925.625,15.4,5.5,0,13.25,26.75,46.54,NA,NA,NA,2.5,10,6485,15.420.200.462.606
2011-12-11,127.916.666.666.667,240.083.333.333.333,801.666.666.666.667,986.529.166.666.667,833.125,840.833.333.333.333,14.7,5.1,0,40.62,39.04,100.88,NA,NA,NA,03.08,2,2268,881.834.215.167.548
2011-12-12,180.625,287.354.166.666.667,756.875,989.5,100.229.166.666.667,8.7625,14.9,5.9,0,63.75,45.21,142.33,NA,NA,NA,3.88,30,13987,214.484.878.816.043
2011-12-13,249.166.666.666.667,290.25,62.875,987.964.583.333.333,868.333.333.333.333,1.129.375,15.1,8.2,0,58.92,53.67,143.25,NA,NA,NA,04.08,14,5474,255.754.475.703.325
2011-12-14,234.166.666.666.667,3.058.125,593.541.666.666.667,987.6,873.958.333.333.333,133.604.166.666.667,17.3,10.3,0,27.83,39.54,81.92,NA,NA,NA,04.04,24,15296,156.903.765.690.377
2011-12-15,344.375,2.971.875,551.458.333.333.333,992.729.166.666.667,889.166.666.666.667,112.145.833.333.333,14,9.5,0,24.91,33.86,71.36,NA,NA,NA,3.96,21,11757,178.616.994.131.156
2011-12-16,443.541.666.666.667,300.875,540.625,9.819.625,559.583.333.333.333,124.520.833.333.333,15.5,9,0,3.38,11.88,16.5,NA,NA,NA,2.54,17,9957,170.734.156.874.561
2011-12-17,448.541.666.666.667,309.770.833.333.333,60.25,98.464.375,107.625,801.875,10.8,6,0,20.46,26.17,57.17,NA,NA,NA,1.83,7,3335,209.895.052.473.763
2011-12-18,318.958.333.333.333,317.770.833.333.333,511.458.333.333.333,987.270.833.333.333,109.125,686.458.333.333.334,11,4.3,0,43,55.33,120.33,NA,NA,NA,2.33,4,1814,220.507.166.482.911
2011-12-19,179.583.333.333.333,286.958.333.333.333,573.541.666.666.667,991.935.416.666.667,942.916.666.666.667,635.416.666.666.667,10.7,2.2,0,53.14,63.14,144,NA,NA,NA,1.29,18,8879,202.725.532.154.522
2011-12-20,210.625,270.458.333.333.333,74.125,9.898.875,776.666.666.666.667,814.791.666.666.667,12.5,3.5,0,125.79,63.5,242,NA,NA,NA,4.54,22,11814,186.219.739.292.365
2011-12-21,141.041.666.666.667,231.166.666.666.667,771.875,99.078.125,52.125,104.458.333.333.333,14.6,6.4,0,54.14,46.95,129.41,NA,NA,NA,3.18,12,6371,188.353.476.691.257
2011-12-22,350.416.666.666.667,321.833.333.333.333,671.666.666.666.667,993.933.333.333.333,934.375,123.958.333.333.333,15.6,9.2,0,19.88,37.42,67.42,NA,NA,NA,2.17,17,9968,170.545.746.388.443
2011-12-23,1.9625,294.729.166.666.667,664.583.333.333.333,99.428.125,106.625,106.583.333.333.333,17.8,7.5,0,22.75,31.62,66.29,NA,NA,NA,1.54,11,6369,172.711.571.675.302
2011-12-24,137.083.333.333.333,278.104.166.666.667,728.958.333.333.333,998.083.333.333.334,769.375,868.541.666.666.667,14,4.6,0,22.96,32.04,66.54,NA,NA,NA,1.42,5,4268,117.150.890.346.767
2011-12-25,132.291.666.666.667,2.546.875,617.291.666.666.667,100.180.625,107.666.666.666.667,721.875,14.1,3.4,0,38.88,43.54,102.58,NA,NA,NA,2.12,4,2642,151.400.454.201.363
2011-12-26,1.0875,232.833.333.333.333,693.333.333.333.333,100.436.666.666.667,103.916.666.666.667,654.583.333.333.333,14.2,2.3,0,89.67,68.5,205.25,NA,NA,NA,3.33,13,8815,147.475.893.363.585
2011-12-27,109.583.333.333.333,205.083.333.333.333,631.041.666.666.667,100.300.208.333.333,749.583.333.333.333,831.875,14.8,3.8,0,63.58,61.38,141.13,NA,NA,NA,2.88,29,15554,186.447.216.150.186
2011-12-28,120.625,242.041.666.666.667,613.125,100.008.958.333.333,1.075.625,858.541.666.666.667,15.1,4.4,0,51.83,53,132,NA,NA,NA,3.38,19,13071,145.359.957.157.065
2011-12-29,1.4875,277.125,600.625,997.358.333.333.333,101.208.333.333.333,7.7375,12.5,3.6,0,20.12,35.88,66.38,NA,NA,NA,2.46,12,5284,227.100.681.302.044
2011-12-30,356.875,295.041.666.666.667,533.541.666.666.667,99.529.375,107.25,8.975,12.7,5.7,0,6.75,30,39.92,NA,NA,NA,2.92,18,12228,14.720.314.033.366
2011-12-31,179.791.666.666.667,253.583.333.333.333,650.208.333.333.333,993.733.333.333.333,107.395.833.333.333,114.583.333.333.333,16.9,7,0,23.58,30.67,66.38,NA,NA,NA,2.83,4,4073,982.077.093.051.805
2012-01-01,195.416.666.666.667,263.229.166.666.667,717.083.333.333.333,993.202.083.333.333,104.854.166.666.667,123.458.333.333.333,17.8,9.6,0,15.83,26.79,50.58,NA,NA,NA,1.54,4,3420,116.959.064.327.485
2012-01-02,408.958.333.333.333,317.625,545.416.666.666.667,991.022.916.666.667,107.666.666.666.667,12.325,14.9,8.8,0,46.92,49.79,121.29,NA,NA,NA,3.25,20,10681,18.724.838.498.268
2012-01-03,151.875,245.020.833.333.333,643.958.333.333.333,998.633.333.333.334,104.458.333.333.333,881.666.666.666.667,15,5.5,0,63.92,52.88,150.42,NA,NA,NA,05.08,18,12254,146.890.811.163.702
2012-01-04,148.125,228.604.166.666.667,741.041.666.666.667,997.55,988.125,8.925,15.5,4.1,0,23.92,36.04,72.33,NA,NA,NA,3.17,22,11691,188.178.941.065.777
2012-01-05,348.958.333.333.333,302.729.166.666.667,53.5,990.827.083.333.334,308.125,111.708.333.333.333,15.8,6.6,0,20,32.67,62.71,NA,NA,NA,3.92,15,9900,151.515.151.515.152
2012-01-06,297.083.333.333.333,239.791.666.666.667,697.291.666.666.667,9.908.625,862.916.666.666.667,118.104.166.666.667,14.9,6.1,0,32.33,44.58,93.71,NA,NA,NA,3.5,3,1742,172.215.843.857.635
2012-01-07,141.041.666.666.667,285.354.166.666.667,647.083.333.333.333,996.839.583.333.333,112.666.666.666.667,809.166.666.666.667,13.9,3.3,0,14.25,30.75,52.33,NA,NA,NA,1.75,12,8973,133.734.536.944.166
2012-01-08,1.0625,216.145.833.333.333,757.083.333.333.333,995.302.083.333.334,110.229.166.666.667,7.7875,12.1,4.6,0,31.08,43.12,90.46,NA,NA,NA,3.67,4,2246,178.094.390.026.714
2012-01-09,134.166.666.666.667,2.434.375,743.333.333.333.333,99.723.125,110,859.791.666.666.667,15,4.4,0,87.59,56.55,173.24,NA,NA,NA,6.65,21,13734,152.905.198.776.758
2012-01-10,115.833.333.333.333,243.708.333.333.333,819.375,999.652.083.333.333,109.604.166.666.667,799.791.666.666.666,14.5,3.4,0,105.25,60.88,221.54,NA,NA,NA,7.25,12,6941,172.885.751.332.661
2012-01-11,814.583.333.333.334,240,852.083.333.333.333,100.129.166.666.667,714.166.666.666.667,728.333.333.333.333,12.9,3.6,0,82.62,55.58,181.5,NA,NA,NA,4.83,12,8126,147.674.132.414.472
2012-01-12,141.875,2.534.375,845.208.333.333.333,99.970.625,112.479.166.666.667,786.458.333.333.333,13.9,2.9,0.3,29.29,40.38,85.08,NA,NA,NA,2.46,13,7235,179.682.100.898.411
2012-01-13,166.041.666.666.667,293.041.666.666.667,627.083.333.333.333,994.272.916.666.667,119.166.666.666.667,659.583.333.333.333,13.6,2.9,0,20.79,34.38,65.92,NA,NA,NA,1.83,9,6456,139.405.204.460.967
2012-01-14,118.125,232.041.666.666.667,742.916.666.666.667,989.277.083.333.333,77.5,521.041.666.666.667,11.9,1.2,0,18,34.58,61.62,NA,NA,NA,2.29,1,295,338.983.050.847.458
2012-01-15,825,218.645.833.333.333,852.083.333.333.333,986.833.333.333.334,690.625,652.916.666.666.667,11.6,3.7,0.2,80.54,66.83,189.92,NA,NA,NA,3.67,4,3285,121.765.601.217.656
2012-01-16,80.625,118.916.666.666.667,854.791.666.666.667,98.566.875,320.625,668.541.666.666.667,9.5,3.1,0.3,117.62,71.58,209.81,NA,NA,NA,2.83,26,15820,164.348.925.410.872
2012-01-17,135.625,148.833.333.333.333,789.375,996.383.333.333.333,842.291.666.666.667,902.708.333.333.333,13.4,6.6,0,111,60.96,192.95,NA,NA,NA,4.42,18,8374,214.951.038.930.021
2012-01-18,136.458.333.333.333,235.916.666.666.667,786.875,10.018.625,113.770.833.333.333,696.875,13.1,2.3,0,64.62,52.38,136.17,NA,NA,NA,04.08,19,8862,214.398.555.630.783
2012-01-19,144.166.666.666.667,259.791.666.666.667,691.666.666.666.667,100.344.791.666.667,114.895.833.333.333,838.125,15.2,3.2,0,57.83,53.04,140.88,NA,NA,NA,3.62,11,6934,158.638.592.443.034
2012-01-20,131.458.333.333.333,251.770.833.333.333,699.375,997.916.666.666.667,119.854.166.666.667,1.039.375,17.9,5.4,0,23.75,41.75,77.67,NA,NA,NA,2.12,8,6071,131.774.007.577.005
2012-01-21,181.875,301.895.833.333.333,590.833.333.333.333,9.948.875,123.604.166.666.667,109.645.833.333.333,15.9,7.8,0,23.5,33.62,69.5,NA,NA,NA,03.08,11,7383,148.990.925.098.199
2012-01-22,149.791.666.666.667,2.574.375,719.166.666.666.667,990.466.666.666.667,125.25,10.7125,15.9,8.1,0,34.91,46.77,100.27,NA,NA,NA,3.48,4,4402,908.677.873.693.776
2012-01-23,154.583.333.333.333,282.104.166.666.667,640.208.333.333.333,987.614.583.333.333,1.264.375,115.666.666.666.667,17.5,7.5,0,63.54,51.88,148.79,NA,NA,NA,2.67,28,11914,235.017.626.321.974
2012-01-24,130.416.666.666.667,212.333.333.333.333,731.875,991.295.833.333.333,128.604.166.666.667,904.583.333.333.333,15.5,5.4,0,95.58,63.12,187.22,NA,NA,NA,4.25,28,14648,191.152.375.750.956
2012-01-25,142.083.333.333.333,237.208.333.333.333,75.25,98.938.125,1.268.125,922.916.666.666.666,16.5,4.8,0,72.96,63.67,174.71,NA,NA,NA,3.62,22,13718,160.373.232.249.599
2012-01-26,116.875,230.25,779.791.666.666.667,9.875.625,115.208.333.333.333,842.916.666.666.667,15.2,3.5,0,116.38,67,244.42,NA,NA,NA,4.17,31,15279,202.892.859.480.332
2012-01-27,8.875,224.479.166.666.667,833.125,9.911.625,400.625,853.333.333.333.333,11.6,6.5,0,34.46,40.67,93.12,NA,NA,NA,2.62,23,16011,143.651.239.772.656
